  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 97649

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    97649             HIP number
HH2  :                      Component flag
HH3  :        0.272         V-I (mag)
HH4  :       97             Total transits, Ntot
HH5  :       41             Accepted transits, Nacc
HH6  :        0.8273        Median magnitude,  Hp (mag)
HH7  :        0.0011        sigma Hp (mag)
HH8  :        0.82           5th percentile (max) (mag)
HH9  :        0.87          95th percentile (min) (mag)
HH10 :        7.9450000     Variability period, P (day)
HH11 :     8502.5400        Reference epoch (day)
HH12 : P                    Variability type
HH13 : 1                    Annex flag (tables)
HH14 : A                    Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7963.69742| 0.8298|0.002| 16
7963.77197| 0.8309|0.003| 18
7963.78630| 0.8320|0.003|  0
7963.86085| 0.8286|0.002| 16
7963.87520| 0.8303|0.002| 16
7963.94976| 0.8312|0.003|  0
7963.96410| 0.8350|0.005|  0
7983.76925| 0.8380|0.001| 17
7983.78355| 0.8317|0.003| 17
7983.85814| 0.8262|0.003| 17
7983.87251| 0.8250|0.002| 17
8012.30775| 0.8268|0.003|  0
8012.38233| 0.8318|0.003| 24
8012.39662| 0.8307|0.002| 17
8051.31118| 0.8309|0.003|  1
8051.38580| 0.8251|0.001| 17
8051.40012| 0.8279|0.002| 17
8051.66682| 0.8235|0.003|  1
8051.74135| 0.8230|0.002|  1
8051.75571| 0.8279|0.002| 17
8051.83026| 0.8234|0.004| 17
8051.84459| 0.8243|0.002| 17
8052.02239| 0.8244|0.003| 17
8056.20036| 0.8221|0.002| 17
8056.27489| 0.8283|0.003| 17
8056.28926| 0.8289|0.001| 17
8056.54155| 0.8218|0.003|  1
8056.55587| 0.8263|0.002| 17
8056.71935| 0.8280|0.002| 17
8056.73370| 0.8328|0.002| 17
8151.04102| 0.8204|0.003| 16
8151.05532| 0.8257|0.003|  0
8151.12991| 0.8242|0.002|  0
8166.69572| 0.8258|0.003| 16
8166.77024| 0.8265|0.003|  0
8197.87746| 0.8302|0.002| 17
8197.95202| 0.8325|0.002| 17
8235.45897| 0.8435|0.002| 16
8235.80018| 0.8258|0.003|  0
8235.81451| 0.8216|0.005|  2
8235.88907| 0.8287|0.003|  0
8235.97795| 0.8364|0.002| 16
8235.99228| 0.8379|0.004| 16
8236.06686| 0.8307|0.004|  0
8236.08116| 0.8337|0.003|  0
8236.68900| 0.8401|0.004| 16
8236.77788| 0.8447|0.002| 16
8240.24430| 0.8501|0.003| 16
8240.25864| 0.8483|0.003| 16
8240.33319| 0.8468|0.002| 16
8240.34753| 0.8463|0.003| 16
8240.42208| 0.8543|0.003| 16
8240.43641| 0.8519|0.003| 16
8240.51095| 0.8434|0.003| 16
8240.52530| 0.8524|0.004| 16
8240.68872| 0.8405|0.003| 16
8240.70306| 0.8446|0.002| 16
8240.77761| 0.8347|0.003| 16
8240.79195| 0.8398|0.003| 16
8240.86649| 0.8339|0.003| 16
8240.88083| 0.8417|0.003| 16
8240.95538| 0.8336|0.003| 16
8240.96972| 0.8361|0.003| 16
8241.13314| 0.8413|0.003| 16
8241.14749| 0.8400|0.002| 16
8241.22203| 0.8343|0.002| 16
8241.23639| 0.8315|0.003|  0
8241.31092| 0.8349|0.003| 16
8241.32526| 0.8360|0.002|  0
8241.39980| 0.8243|0.003| 16
8241.41414| 0.8310|0.004|  0
8357.91005| 0.8244|0.005|  2
8357.92431| 0.8293|0.003|  0
8357.99894| 0.8264|0.003|  0
8358.01322| 0.8351|0.006|  0
8388.93461| 0.8256|0.005|  2
8405.99906| 0.8227|0.002|  0
8502.53935| 0.8311|0.003| 16
8502.55368| 0.8896|0.008|  0
8502.82030| 0.8723|0.010|  2
8543.87915| 0.8249|0.003|  0
8543.89345| 0.8258|0.004| 18
8543.96802| 0.8262|0.003|  0
8543.98237| 0.8201|0.005|  2
8570.88815| 0.8282|0.005|  0
8570.90248| 0.8276|0.004|  0
8570.97706| 0.8362|0.005|  0
8570.99137| 0.8314|0.002|  0
8591.77049| 0.8273|0.004|  2
8591.78477| 0.8282|0.004|  2
8703.65573| 0.8301|0.003|  0
8703.67001| 0.8260|0.003|  0
8703.74460| 0.8235|0.003|  0
8703.75892| 0.8253|0.003|256
8727.66455| 0.8155|0.003|256
8938.21166| 0.8112|0.004|  0
8938.22594| 0.8209|0.004|  0

  ------------------------------------------------------------------------

                                [ Dynamically generated: Wed Mar 15 11:52:26
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
