  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                  HIP 9884

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :     9884             HIP number
HH2  :                      Component flag
HH3  :        1.130         V-I (mag)
HH4  :       66             Total transits, Ntot
HH5  :       58             Accepted transits, Nacc
HH6  :        2.1726        Median magnitude,  Hp (mag)
HH7  :        0.0007        sigma Hp (mag)
HH8  :        2.17           5th percentile (max) (mag)
HH9  :        2.19          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 :                      Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7938.33033| 2.1913|0.007|256
7938.34463| 2.1901|0.006|256
7938.50810| 2.1892|0.003|  0
7955.30359| 2.1892|0.008|256
7955.31789| 2.2013|0.013|  2
7955.39247| 2.1992|0.004|256
7955.40675| 2.1857|0.005|256
8080.69853| 2.1786|0.004|256
8080.71286| 2.1742|0.004|  0
8129.39929| 2.1715|0.003|  0
8129.41364| 2.1801|0.004|  0
8257.56568| 2.1724|0.003|  0
8277.57234| 2.1759|0.002|256
8277.64689| 2.1688|0.002|  0
8277.66121| 2.1752|0.002|  0
8302.98197| 2.1632|0.004|  0
8303.05657| 2.1767|0.003|  0
8303.07088| 2.1722|0.002|  0
8303.14540| 2.1704|0.002|  1
8427.92461| 2.1664|0.007|  2
8427.93895| 2.1730|0.003|  0
8428.01351| 2.1709|0.002|  0
8428.02785| 2.1699|0.002|  0
8428.10239| 2.1657|0.003|  0
8428.11676| 2.1742|0.003|  0
8428.19131| 2.1665|0.002|  0
8428.20564| 2.1722|0.002|  0
8443.93811| 2.1753|0.003|  0
8444.01270| 2.1742|0.003|  0
8444.02701| 2.1794|0.003|  0
8475.46871| 2.1746|0.002|  0
8475.48300| 2.1682|0.003|  0
8475.55759| 2.1743|0.003|  0
8475.57190| 2.1712|0.003|  0
8607.67176| 2.1760|0.004|  0
8607.68603| 2.1702|0.003|  0
8607.76065| 2.1693|0.003|256
8607.77491| 2.1739|0.003|  0
8607.84950| 2.1720|0.002|  0
8607.86382| 2.1726|0.003|  0
8616.11508| 2.1703|0.003|  0
8616.12941| 2.1677|0.002|  0
8616.20396| 2.1804|0.003|  0
8616.21830| 2.1767|0.003|  0
8649.87222| 2.1751|0.003|  0
8649.88658| 2.1697|0.003|  0
8683.27555| 2.1742|0.005|  0
8683.36443| 2.1711|0.003|  0
8683.37875| 2.1745|0.004|  0
8683.54221| 2.1710|0.002|  0
8683.55651| 2.1696|0.002|  0
8683.63112| 2.1734|0.002|  0
8683.64542| 2.1718|0.003|  0
8683.73430| 2.1733|0.005|  0
8692.25219| 2.1712|0.003|  0
8692.26650| 2.1764|0.005|  0
8692.51881| 2.1727|0.002|  0
8692.53317| 2.1748|0.005|  0
8692.60772| 2.1670|0.003|  0
8692.62204| 2.1760|0.006|  0
8692.69660| 2.1676|0.003|  0
8692.71091| 2.1687|0.004|  0
8692.78547| 2.2456|0.202|  2
8692.79983| 2.1783|0.004|  0
8821.08165| 2.1817|0.006|  0
8821.09596| 2.1718|0.003|  0

  ------------------------------------------------------------------------

                                [ Dynamically generated: Tue Mar 14 13:43:05
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
