  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 24608

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    24608             HIP number
HH2  :                      Component flag
HH3  :        0.826         V-I (mag)
HH4  :       63             Total transits, Ntot
HH5  :       52             Accepted transits, Nacc
HH6  :        0.2385        Median magnitude,  Hp (mag)
HH7  :        0.0023        sigma Hp (mag)
HH8  :        0.22           5th percentile (max) (mag)
HH9  :        0.25          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : U                    Variability type
HH13 : 2                    Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7933.20310| 0.2459|0.002|  1
7965.70187| 0.2551|0.009|  1
7965.71622| 0.2425|0.005|  1
8000.80903| 0.2414|0.003|  9
8000.97253| 0.2354|0.001|  1
8001.06142| 0.2393|0.001|  1
8001.07570| 0.2436|0.003|  1
8001.16461| 0.2468|0.003|  1
8010.48253| 0.2422|0.003|  0
8010.49684| 0.2446|0.008|  0
8010.57143| 0.2417|0.002|256
8010.58573| 0.2442|0.005|  2
8164.39833| 0.2451|0.005|  1
8164.48719| 0.2364|0.002|  1
8164.57609| 0.2338|0.003|  1
8182.52898| 0.2351|0.002|264
8182.61787| 0.2483|0.002|  0
8182.63221| 0.2499|0.002|  0
8312.13623| 0.2432|0.002|  0
8337.26566| 0.2387|0.002|  0
8337.27995| 0.2415|0.002|  0
8359.65745| 0.2478|0.002|  0
8359.74634| 0.2329|0.002|  2
8359.76064| 0.2451|0.001|  0
8359.83522| 0.2435|0.001|  0
8359.84952| 0.2416|0.002|  0
8359.92407| 0.2384|0.003|  0
8480.87772| 0.2368|0.002|  0
8480.89207| 0.2453|0.002|  0
8503.09611| 0.2520|0.006|  0
8503.11046| 0.2314|0.002|  0
8503.18504| 0.2353|0.001|  0
8503.19933| 0.2366|0.001|256
8659.64988| 0.2281|0.001|  0
8659.66418| 0.2303|0.002|  0
8659.73876| 0.2189|0.002|  0
8659.75306| 0.2251|0.001|  0
8659.82768| 0.2203|0.003|256
8659.84197| 0.2286|0.002|256
8676.62252| 0.2396|0.002|256
8676.63687| 0.2268|0.002|  0
8705.93958| 0.2251|0.002|  0
8705.95390| 0.2248|0.001|  0
8830.02640| 0.2232|0.004|256
8830.04070| 0.2418|0.009|  0
8830.11529| 0.2211|0.001|256
8830.12964| 0.2467|0.006|  0
8830.38662| 0.2223|0.002|  0
8830.40094| 0.2409|0.001|  0
8830.47551| 0.2202|0.002|256
8830.48981| 0.2224|0.001|  0
8830.56441| 0.2326|0.002|256
8830.57875| 0.2304|0.003|  0
8830.82730| 0.2377|0.006|  0
8830.84163| 0.2264|0.003|  0
8830.91619| 0.2718|0.014|  0
8837.65767| 0.2254|0.006|  0
8837.67197| 0.2146|0.005|  0
8838.00827| 0.2194|0.002|  0
8838.02257| 0.2434|0.004|  0
8838.09714| 0.2159|0.002|  0
8838.11149| 0.2159|0.003|  2
9042.52334| 0.2324|0.005|  0

  ------------------------------------------------------------------------

                                [ Dynamically generated: Tue Mar 14 13:44:12
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
