  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 69673

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    69673             HIP number
HH2  : *                    Component flag
HH3  :        1.224         V-I (mag)
HH4  :       75             Total transits, Ntot
HH5  :       70             Accepted transits, Nacc
HH6  :        0.1114        Median magnitude,  Hp (mag)
HH7  :        0.0020        sigma Hp (mag)
HH8  :        0.09           5th percentile (max) (mag)
HH9  :        0.14          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : U                    Variability type
HH13 : 2                    Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7933.30272| 0.1178|0.004|  1
7933.48052| 0.1224|0.003|  2
7933.49485| 0.1334|0.004|  0
8038.40283| 0.1114|0.004|  1
8038.47742| 0.1027|0.002|  1
8047.46832| 0.1090|0.004|  1
8047.55722| 0.1146|0.001|  1
8047.63179| 0.1142|0.001|  1
8047.64614| 0.1162|0.002|  1
8047.72064| 0.1199|0.003|  1
8084.66640| 0.1222|0.004|  2
8084.68075| 0.1129|0.002|  0
8084.75528| 0.1084|0.006|  1
8115.67347| 0.1076|0.001|  1
8115.68776| 0.1133|0.001|  1
8115.76231| 0.1108|0.002|  1
8115.77660| 0.1141|0.002|  1
8134.33664| 0.1224|0.001|  1
8134.42551| 0.1269|0.002|  1
8134.60326| 0.1238|0.003|  1
8247.83663| 0.1474|0.004|  0
8247.91120| 0.1456|0.003|  2
8247.92551| 0.1447|0.004|  2
8248.00011| 0.1356|0.003|  2
8294.92055| 0.1280|0.003|  0
8294.93489| 0.1311|0.002|  0
8295.00946| 0.1192|0.002|  0
8295.02378| 0.1283|0.002|  0
8295.09836| 0.1290|0.002|  2
8430.20729| 0.0962|0.002|  0
8430.22166| 0.0955|0.002|256
8453.39822| 0.1305|0.003|  0
8453.41249| 0.1356|0.003|  2
8480.31977| 0.1277|0.005|  0
8480.33407| 0.1138|0.003|  2
8480.40863| 0.1172|0.002|  0
8480.42296| 0.1061|0.002|  0
8594.56024| 0.1032|0.002|  0
8594.63481| 0.0990|0.003|  0
8594.64915| 0.1046|0.003|  0
8594.91583| 0.1006|0.002|  2
8612.85512| 0.0958|0.002|  0
8612.86944| 0.0975|0.002|  0
8613.03290| 0.0932|0.002|  0
8613.04723| 0.0966|0.003|  0
8677.00515| 0.1073|0.003|  0
8677.01951| 0.1149|0.003|  0
8677.09407| 0.0997|0.002|  0
8677.10841| 0.1101|0.003|  0
8677.18294| 0.1104|0.005|264
8685.18294| 0.1020|0.003|  0
8685.27181| 0.1114|0.002|  0
8685.28614| 0.1115|0.002|  0
8685.36073| 0.1055|0.003|256
8685.37504| 0.1066|0.003|  0
8685.44960| 0.1120|0.003|  0
8685.46393| 0.1156|0.002|  0
8685.53853| 0.1143|0.003|  0
8776.84678| 0.1052|0.004|  0
8776.86110| 0.1007|0.003|  0
8776.93570| 0.1038|0.003|256
8776.95001| 0.1040|0.003|  0
8777.11343| 0.1009|0.002|256
8777.12777| 0.1023|0.003|  0
8791.77678| 0.0893|0.002|  0
8791.79110| 0.0967|0.002|  0
8791.86564| 0.0924|0.003|  0
8791.87997| 0.0978|0.003|  0
8791.95451| 0.0967|0.003|  0
8791.96885| 0.1142|0.007|  0
9002.45759| 0.0914|0.007|  1
9025.15395| 0.1024|0.002|  0
9025.16827| 0.0930|0.002|  0
9025.24283| 0.0983|0.002|  0
9025.25715| 0.0999|0.003|  2

  ------------------------------------------------------------------------

                                [ Dynamically generated: Tue Mar 14 13:20:52
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
