  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 32349

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    32349             HIP number
HH2  :                      Component flag
HH3  :       -0.019         V-I (mag)
HH4  :      160             Total transits, Ntot
HH5  :      159             Accepted transits, Nacc
HH6  :       -1.0876        Median magnitude,  Hp (mag)
HH7  :        0.0024        sigma Hp (mag)
HH8  :       -1.17           5th percentile (max) (mag)
HH9  :       -0.98          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : U                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
8304.19767|-1.0633|0.003|  2
8304.21198|-1.0948|0.010|  2
8304.28655|-1.0971|0.007|  2
8304.30086|-1.0857|0.006|  2
8304.37542|-0.9909|0.008|  2
8304.38973|-0.9783|0.004|  2
8323.94035|-0.9864|0.006|  2
8324.19265|-0.9736|0.002| 66
8353.86704|-1.0088|0.007|  2
8353.88136|-1.0530|0.006|  2
8388.77812|-0.9747|0.005|  2
8388.95591|-0.9652|0.005|  2
8388.97022|-0.9325|0.007|  2
8401.39807|-1.0389|0.003|  2
8401.48697|-1.0353|0.006|  2
8401.50127|-0.9861|0.004|  2
8401.57584|-1.0589|0.008|  2
8401.59016|-1.0111|0.004|  2
8494.40068|-1.1126|0.003|  2
8494.48958|-1.0799|0.007|  2
8494.50394|-1.0536|0.003|  2
8494.57850|-1.0595|0.006|  2
8510.57647|-1.1276|0.005|  2
8510.59076|-1.1563|0.004|  2
8542.94958|-1.0506|0.005|  2
8542.96389|-1.0464|0.007|  2
8543.03847|-1.0846|0.009|  2
8543.05279|-1.0550|0.003|  2
8576.18226|-0.9806|0.004|  2
8576.27117|-1.0018|0.006|  2
8576.28546|-0.9796|0.007|  2
8576.36002|-1.0175|0.008|  2
8576.37439|-1.0169|0.008|  2
8576.44891|-0.9816|0.009|  2
8576.46328|-0.9553|0.005|  2
8591.73698|-1.0665|0.009|  2
8591.75129|-1.0657|0.005|  2
8591.82586|-1.0981|0.005|  2
8591.84022|-1.0967|0.007|  2
8591.91475|-1.0850|0.009|  2
8591.92908|-1.0617|0.005|  2
8592.00362|-1.0365|0.004|  2
8592.01800|-1.0440|0.005|  2
8653.05680|-1.0748|0.004|  2
8653.07113|-1.0510|0.004|  2
8653.14567|-1.0842|0.003|  2
8653.16000|-1.0699|0.002|  2
8653.23455|-1.0824|0.003|  2
8653.24890|-1.0744|0.004|  2
8653.41233|-1.0851|0.006|  2
8653.42667|-1.0944|0.004|  2
8653.50122|-1.0949|0.005|  2
8653.51557|-1.0665|0.003|  2
8653.59013|-1.0933|0.008|  2
8653.60441|-1.0763|0.005|  2
8653.85675|-1.0876|0.004|  2
8653.87109|-1.0934|0.008|  2
8653.94564|-1.0974|0.006|  2
8653.95998|-1.0889|0.005|  2
8654.03452|-1.0908|0.005|  2
8654.04885|-1.0792|0.007|  2
8654.12341|-1.0870|0.006|  2
8654.21233|-1.0715|0.009|  2
8654.22661|-1.1203|0.008|  2
8654.30121|-1.0823|0.009|  2
8654.31549|-1.1216|0.009|  2
8654.39008|-1.0718|0.006|  2
8654.40441|-1.0604|0.006|  2
8654.47897|-1.0726|0.006|  2
8654.49331|-1.0690|0.003|  2
8654.56787|-1.0858|0.006|  2
8654.58218|-1.0987|0.012|  2
8654.67105|-1.0812|0.009|  2
8654.74563|-1.0911|0.007|  2
8654.75996|-1.0862|0.005|  2
8654.83449|-1.0953|0.007|  2
8654.84881|-1.0808|0.005|  2
8654.92339|-1.1023|0.009|  2
8654.93772|-1.0773|0.003|  2
8655.01230|-1.0870|0.006|  2
8655.02660|-1.0807|0.007|  2
8655.11547|-1.0875|0.003|  2
8655.19005|-1.0633|0.004|  2
8655.20437|-1.0760|0.007|  2
8655.27893|-1.1154|0.003|  2
8655.29326|-1.1527|0.012|  2
8655.36782|-1.0886|0.003|  2
8655.38216|-1.1161|0.007|  2
8655.45672|-1.1000|0.002|  2
8655.47102|-1.1130|0.010|  2
8655.55989|-1.1262|0.010|  2
8655.63447|-1.1269|0.003|  2
8655.64878|-1.1265|0.006|  2
8655.72336|-1.1199|0.002|  2
8655.73768|-1.1065|0.007|  2
8655.81224|-1.1028|0.004|  2
8655.82658|-1.1289|0.009|  2
8655.90114|-1.1206|0.004|  2
8655.91545|-1.1687|0.011|  2
8655.99001|-1.0896|0.008|  2
8656.00432|-1.1068|0.004|  2
8656.07890|-1.0793|0.003|  2
8656.09324|-1.0964|0.003|  2
8656.16779|-1.0913|0.005|  2
8656.18212|-1.1043|0.006|  2
8656.25667|-1.1051|0.006|  2
8656.27099|-1.1062|0.006|  2
8656.52333|-1.0794|0.005|  2
8656.53765|-1.0830|0.003|  2
8656.61220|-1.0868|0.004|  2
8656.62653|-1.0856|0.002|  2
8656.70107|-1.0984|0.007|  2
8656.71542|-1.1299|0.008|  2
8656.78999|-1.0978|0.006|  2
8656.87887|-1.0973|0.007|  2
8656.89316|-1.1197|0.007|  2
8656.96776|-1.1114|0.006|  2
8656.98207|-1.0988|0.005|  2
8657.05663|-1.0828|0.007|  2
8657.07096|-1.0820|0.007|  2
8657.14552|-1.0648|0.008|  2
8657.15983|-1.0490|0.006|  2
8657.32330|-1.0674|0.005|  2
8657.33761|-1.0763|0.003|  2
8657.41219|-1.0786|0.002|  2
8657.42650|-1.0971|0.008|  2
8657.50106|-1.0775|0.004|  2
8657.51540|-1.1032|0.004|  2
8657.58996|-1.0896|0.006|  2
8657.60428|-1.0951|0.004|  2
8657.67882|-1.0884|0.005|  2
8657.85658|-1.0852|0.006|  2
8657.87094|-1.0853|0.004|  2
8657.94548|-1.0888|0.002|  2
8657.95980|-1.0735|0.002|  2
8658.03438|-1.0902|0.005|  2
8699.08307|-1.1356|0.008|  2
8699.09738|-1.1195|0.009|  2
8699.17194|-1.1435|0.004|  2
8699.18624|-1.1239|0.003|  2
8728.41541|-1.1374|0.004|  2
8728.48993|-1.1568|0.006|  2
8728.50428|-1.1324|0.005|  2
8728.57883|-1.1620|0.010|  2
8728.59314|-1.1497|0.009|  2
8748.30544|-1.1061|0.004|  2
8748.31974|-1.1604|0.011|  2
8937.91320|-1.2581|0.006|  2
8937.92755|-1.2076|0.010|  2
8938.17574|-1.1426|0.004|  2
8938.19003|-1.1434|0.006|  2
8938.27893|-1.1702|0.014|  2
9034.41828|-1.1557|0.003|  2
9034.50715|-1.1815|0.008|  2
9034.59593|-1.1580|0.004|  2
9034.61025|-1.0145|0.030| 34
9054.39638|-1.1949|0.002|  2
9054.47095|-1.1953|0.005|  2
9054.48525|-1.2003|0.005|  2
9054.55981|-1.1842|0.004|  2

  ------------------------------------------------------------------------

                                [ Dynamically generated: Wed Mar 15 11:43:52
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
