  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 30438

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    30438             HIP number
HH2  :                      Component flag
HH3  :        0.230         V-I (mag)
HH4  :       90             Total transits, Ntot
HH5  :       87             Accepted transits, Nacc
HH6  :       -0.5536        Median magnitude,  Hp (mag)
HH7  :        0.0066        sigma Hp (mag)
HH8  :       -0.60           5th percentile (max) (mag)
HH9  :       -0.48          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : U                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
8004.77276|-0.5317|0.005|  0
8038.88681|-0.5491|0.003|  1
8038.90116|-0.5516|0.010|  2
8060.21377|-0.5636|0.004|  1
8096.27231|-0.5511|0.002|  1
8117.33312|-0.4972|0.001|  1
8117.42200|-0.5206|0.006|  1
8151.44902|-0.5406|0.002|  9
8151.53793|-0.5378|0.003|  0
8151.55226|-0.5419|0.003|256
8151.62683|-0.5321|0.004|  0
8176.34402|-0.5250|0.004|  0
8176.41858|-0.5476|0.003|  0
8206.18366|-0.5719|0.008|  2
8206.19797|-0.5536|0.003|  0
8206.27255|-0.5533|0.002|  0
8206.28688|-0.5406|0.003|  0
8235.43101|-0.4531|0.007|  2
8262.42942|-0.5133|0.009|  2
8262.44377|-0.5235|0.008|  2
8262.51832|-0.4627|0.013|  2
8262.53265|-0.4600|0.007|  2
8292.83107|-0.5318|0.009|  2
8292.90562|-0.5106|0.007|  2
8292.91994|-0.5387|0.006|  2
8321.07176|-0.5211|0.008|  2
8321.08608|-0.5457|0.006|  2
8321.16064|-0.5434|0.008|  2
8321.17495|-0.5611|0.006|  2
8348.09734|-0.5367|0.006|  0
8348.17186|-0.5562|0.005|  0
8348.18620|-0.5578|0.004|  0
8348.26074|-0.5623|0.005|  0
8380.59906|-0.5538|0.007|  2
8380.61340|-0.5462|0.003|  0
8403.08044|-0.5255|0.011|  2
8403.09478|-0.5271|0.008|  2
8403.16934|-0.5450|0.009|  2
8403.18364|-0.5388|0.008|  2
8438.70407|-0.5021|0.008|  2
8438.71841|-0.5038|0.005|  2
8438.79296|-0.5479|0.006|  0
8438.80726|-0.5469|0.007|  2
8438.88185|-0.5228|0.003|  0
8494.67832|-0.5852|0.008|  2
8494.69267|-0.5819|0.003|  0
8494.76724|-0.5787|0.007|  2
8494.78157|-0.5791|0.005|  0
8517.78242|-0.5720|0.007|  2
8535.98120|-0.5853|0.004|129
8536.24787|-0.5835|0.004|  1
8549.54713|-0.5428|0.006|  2
8549.62172|-0.5233|0.006|  2
8549.63604|-0.5336|0.005|  2
8577.07819|-0.4746|0.004|  2
8577.09251|-0.5089|0.009|  2
8577.16707|-0.4889|0.010|  2
8577.18140|-0.5065|0.010|  2
8577.25596|-0.5056|0.009|  2
8577.27029|-0.5230|0.005|  2
8635.46985|-0.5811|0.006|  0
8635.63329|-0.5924|0.004|  0
8635.64759|-0.5923|0.003|  0
8662.73431|-0.5696|0.009|  2
8662.74861|-0.5577|0.005|  2
8662.82319|-0.5804|0.008|  2
8691.52221|-0.5750|0.008|  2
8691.53654|-0.5650|0.007|  2
8722.17395|-0.5917|0.011|  2
8722.18827|-0.5781|0.003|  0
8746.25395|-0.5801|0.010|  2
8746.26829|-0.5823|0.008|  2
8746.34288|-0.5940|0.008|  2
8746.35716|-0.5785|0.006|  0
8780.91483|-0.5847|0.004|  0
8781.07827|-0.5982|0.007|  2
8781.09260|-0.5802|0.004|  0
8801.88658|-0.5831|0.003|  0
8801.96112|-0.5834|0.007|  2
8801.97546|-0.5815|0.003|  0
8947.71015|-0.6136|0.005|  2
8947.88857|-0.5942|0.004|  0
8947.90287|-0.5867|0.006|  0
8978.98648|-0.6053|0.007|  2
8979.06107|-0.6008|0.006|  2
8979.07539|-0.5991|0.008|  2
8979.14996|-0.5941|0.007|  2
8979.16426|-0.6083|0.009|  2
9022.96438|-0.5989|0.007|  2
9022.97870|-0.6042|0.009|  2

  ------------------------------------------------------------------------

                                [ Dynamically generated: Wed Mar 15 11:36:18
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
