  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                  HIP 3179

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :     3179             HIP number
HH2  :                      Component flag
HH3  :        1.131         V-I (mag)
HH4  :      235             Total transits, Ntot
HH5  :      208             Accepted transits, Nacc
HH6  :        2.4107        Median magnitude,  Hp (mag)
HH7  :        0.0004        sigma Hp (mag)
HH8  :        2.40           5th percentile (max) (mag)
HH9  :        2.42          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : M                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7868.34677| 2.4078|0.009|  2
7868.42132| 2.3995|0.003|  0
7868.43566| 2.4153|0.002|256
7868.59909| 2.4071|0.005|  2
7881.94390| 2.4123|0.002|  1
7915.24089| 2.4118|0.003|  0
7915.25522| 2.4127|0.003|  0
7943.22742| 2.4064|0.002|  9
7943.24175| 2.4116|0.003|256
7943.33063| 2.4054|0.003|  0
7965.44311| 2.4156|0.002|  0
7965.45742| 2.4081|0.002|  0
7965.53199| 2.4093|0.002|  0
7965.54630| 2.4076|0.003|  0
7965.62087| 2.4079|0.002|  0
7965.63519| 2.4075|0.002|  0
7965.70975| 2.4110|0.002|  0
7965.72407| 2.4098|0.003|  0
8018.50766| 2.4051|0.003|  0
8018.58222| 2.4014|0.005|  0
8018.59655| 2.4075|0.002|  0
8018.76000| 2.4034|0.004|  0
8018.77433| 2.4031|0.003|  0
8019.20447| 2.4089|0.003|  0
8019.21879| 2.4135|0.003|  0
8019.29335| 2.4099|0.002|  0
8019.30769| 2.4114|0.003|  0
8019.38224| 2.4053|0.002|  0
8019.39659| 2.4099|0.003|  0
8019.47114| 2.4094|0.002|  0
8019.48545| 2.4130|0.002|  0
8019.73780| 2.4008|0.003|  0
8019.75213| 2.4099|0.002|256
8019.82669| 2.4075|0.002|256
8019.91558| 2.4044|0.003|  0
8019.92990| 2.4069|0.002|  0
8020.09333| 2.4334|0.011|  0
8020.10770| 2.4016|0.005|  0
8020.18225| 2.4042|0.002|  0
8020.19657| 2.4058|0.004|  0
8020.27113| 2.4068|0.003|  0
8020.28548| 2.4004|0.003|  0
8020.36002| 2.3957|0.003|  2
8020.37437| 2.4031|0.003|  0
8020.62667| 2.4062|0.006|  0
8024.55215| 2.5055|0.013|  1
8024.62672| 2.4047|0.003|  0
8024.64104| 2.3971|0.004|256
8024.71561| 2.4036|0.003|  0
8024.72993| 2.4062|0.006|  2
8024.80446| 2.4029|0.004|  0
8024.81879| 2.4086|0.002|  1
8024.89337| 2.4187|0.005|  1
8024.98229| 2.4013|0.002|  0
8024.99661| 2.4224|0.003|  0
8025.07117| 2.4041|0.002|256
8025.08548| 2.4116|0.002|  0
8025.16006| 2.4057|0.002|256
8025.17438| 2.4073|0.003|  2
8025.24896| 2.4042|0.002|  0
8025.26324| 2.4107|0.003|  1
8025.42673| 2.4487|0.014| 66
8025.44103| 2.4098|0.003|  0
8025.51563| 2.4013|0.002|  0
8025.52992| 2.4113|0.002|  0
8025.60449| 2.4065|0.002|  0
8025.61882| 2.4085|0.003|  0
8025.87117| 2.4073|0.002|  0
8025.88549| 2.4014|0.002|  0
8025.96006| 2.4062|0.003|  0
8025.97438| 2.4061|0.003|  0
8026.04896| 2.4117|0.003|  0
8026.06327| 2.4140|0.003|  0
8026.13787| 2.4116|0.002|  0
8072.69300| 2.4080|0.003|  0
8072.70731| 2.4074|0.002|  0
8072.87078| 2.4093|0.003|  0
8072.88510| 2.4153|0.003|  0
8100.86271| 2.4055|0.003|  0
8125.03476| 2.4111|0.002|  0
8125.04910| 2.4107|0.003|  0
8125.12365| 2.4106|0.003|  1
8125.13797| 2.4119|0.003|  1
8163.76763| 2.4077|0.002|  0
8163.78193| 2.4046|0.002|  1
8163.85651| 2.4005|0.002| 17
8163.87084| 2.4100|0.004|  0
8163.94540| 2.4087|0.003|  0
8163.95972| 2.4084|0.002|  0
8164.03429| 2.4142|0.003|  0
8164.04862| 2.4144|0.002|  0
8172.21172| 2.4247|0.003|  1
8172.38954| 2.4105|0.002|  0
8172.47843| 2.4111|0.004|  0
8172.58165| 2.4129|0.004|  0
8216.08969| 2.4113|0.002|  0
8216.10399| 2.4138|0.003|  0
8223.21454| 2.4095|0.004|  0
8223.37799| 2.4102|0.003|  0
8223.39231| 2.4106|0.004|  0
8223.46688| 2.4154|0.002|  0
8223.48120| 2.4125|0.003|  0
8223.55577| 2.4049|0.003|  0
8223.57009| 2.4111|0.003|  0
8261.21727| 2.4143|0.003|  0
8261.23160| 2.4137|0.002|  0
8261.30615| 2.4121|0.003|  0
8261.32048| 2.4158|0.003|  0
8283.16389| 2.4170|0.003|  0
8310.44014| 2.4096|0.004|  0
8352.64493| 2.4074|0.004|  0
8352.73383| 2.4150|0.003|  0
8352.74816| 2.4136|0.003|  0
8352.82270| 2.4103|0.002|264
8352.83704| 2.4118|0.002|264
8353.00048| 2.4160|0.003|  0
8353.01483| 2.4110|0.002|  0
8353.08938| 2.4133|0.003|  2
8353.10369| 2.4147|0.003|  0
8353.17826| 2.4138|0.002|  0
8353.19260| 2.4108|0.003|  0
8353.44492| 2.4105|0.003|  0
8353.45925| 2.4141|0.002|  0
8353.53381| 2.4145|0.004|  0
8353.54813| 2.4119|0.002|  0
8353.62269| 2.4161|0.002|256
8353.63702| 2.4184|0.005|  0
8361.44454| 2.4162|0.004|  0
8361.45887| 2.4128|0.005|  0
8361.53343| 2.4141|0.002|256
