  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 46390

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    46390             HIP number
HH2  :                      Component flag
HH3  :        1.394         V-I (mag)
HH4  :       78             Total transits, Ntot
HH5  :       67             Accepted transits, Nacc
HH6  :        2.1351        Median magnitude,  Hp (mag)
HH7  :        0.0006        sigma Hp (mag)
HH8  :        2.13           5th percentile (max) (mag)
HH9  :        2.15          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : M                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7889.79825| 2.1280|0.004|  1
7889.96172| 2.1340|0.005|  1
7889.97604| 2.1326|0.002|  1
7890.40620| 2.1338|0.004|  1
7890.42053| 2.1338|0.007|  1
7890.49509| 2.1293|0.004|  1
7890.50941| 2.1321|0.004|  1
7890.58400| 2.1298|0.004|  1
7896.45092| 2.1344|0.004|  0
7896.46527| 2.1326|0.004|  0
7896.71760| 2.1375|0.003|  0
7896.73190| 2.1369|0.003|  0
7896.80650| 2.1397|0.003|  0
7896.82080| 2.1428|0.002|  2
7896.89539| 2.1371|0.004|  0
7896.90970| 2.1441|0.002|264
8047.78591| 2.1600|0.006|256
8047.80022| 2.1457|0.007|256
8047.87479| 2.1455|0.008|256
8047.88911| 2.1455|0.010|256
8065.55862| 2.1479|0.005|  0
8065.57294| 2.1571|0.009|256
8065.64751| 2.1489|0.007|  0
8200.74641| 2.1462|0.002|256
8200.76073| 2.1388|0.003|  0
8200.83531| 2.1418|0.002|  0
8200.84963| 2.1428|0.005|  0
8200.92421| 2.1368|0.003|  0
8226.33858| 2.1314|0.002|  0
8226.35292| 2.1351|0.003|  0
8226.44183| 2.1611|0.005| 66
8226.51638| 2.1357|0.003|  0
8247.40147| 2.1309|0.002|  0
8247.41579| 2.1361|0.003|  0
8363.28839| 2.1387|0.002|  0
8363.30274| 2.1395|0.003|  0
8363.37730| 2.1361|0.003|  0
8363.39162| 2.1331|0.003|  0
8363.46615| 2.1281|0.004|  0
8386.30234| 2.1412|0.002|256
8386.31667| 2.1361|0.005|  0
8412.15721| 2.1454|0.003|  0
8412.17149| 2.1458|0.003|  0
8412.24608| 2.1432|0.003|  0
8412.26038| 2.1493|0.003|  0
8547.91555| 2.1389|0.003|  0
8547.92989| 2.1347|0.002|  0
8548.00444| 2.1467|0.002|256
8548.01876| 2.1502|0.004|  0
8548.09333| 2.1468|0.003|  2
8594.40588| 2.1363|0.002|  0
8712.14826| 2.1329|0.006|  0
8712.16255| 2.1352|0.005|  0
8712.23710| 2.1135|0.003|  1
8712.41491| 2.1378|0.004|  0
8712.42920| 2.1373|0.005|  0
8712.50377| 2.1338|0.004|  0
8712.51811| 2.1336|0.004|  0
8712.59264| 2.1344|0.003|  0
8712.60699| 2.1395|0.003|  0
8712.68153| 2.1337|0.003|  0
8722.11695| 2.1278|0.003|  2
8722.19150| 2.1254|0.002|256
8722.20583| 2.1368|0.009|  0
8722.28040| 2.1275|0.003|  0
8722.29472| 2.1244|0.002|256
8722.36925| 2.1291|0.003|  0
8722.38358| 2.1306|0.004|  0
8757.81776| 2.1295|0.003|  0
8757.83208| 2.1354|0.003|  0
8792.01963| 2.1700|0.013| 66
8792.03393| 2.1242|0.004|  2
8792.19735| 2.1268|0.003|  0
8792.21167| 2.1241|0.003|  0
8792.28628| 2.1340|0.002|  0
8792.30058| 2.1298|0.003|  0
8804.65392| 2.1338|0.003|  0
8972.03598| 2.1327|0.003|  0

  ------------------------------------------------------------------------

                                [ Dynamically generated: Wed Mar 15 10:53:35
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
