  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 91262

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    91262             HIP number
HH2  :                      Component flag
HH3  :       -0.005         V-I (mag)
HH4  :      103             Total transits, Ntot
HH5  :       90             Accepted transits, Nacc
HH6  :        0.0868        Median magnitude,  Hp (mag)
HH7  :        0.0021        sigma Hp (mag)
HH8  :        0.07           5th percentile (max) (mag)
HH9  :        0.13          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : U                    Variability type
HH13 : 2                    Annex flag (tables)
HH14 : C                    Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7953.28367| 0.0928|0.003|  9
7953.29794| 0.0978|0.002|  9
7981.71812| 0.0956|0.004|  1
7981.73241| 0.0943|0.004|  9
8006.33280| 0.0986|0.001|256
8006.34714| 0.1043|0.005|  0
8042.23780| 0.0931|0.003|  1
8042.32671| 0.0970|0.001|  1
8058.32396| 0.0851|0.003|  2
8058.39852| 0.0804|0.002|  2
8058.41285| 0.0847|0.003|  2
8058.48740| 0.0842|0.002|  2
8058.50173| 0.0919|0.002|  2
8098.18456| 0.0877|0.002|  2
8098.19889| 0.0890|0.002|  0
8098.27348| 0.0829|0.002|256
8098.28778| 0.0895|0.002|  0
8113.84000| 0.0962|0.003|  1
8113.91460| 0.0851|0.003|  1
8113.92890| 0.0938|0.003|  1
8114.00346| 0.0841|0.003|  1
8114.01780| 0.0966|0.003|  1
8150.24735| 0.1016|0.001|  0
8150.26169| 0.1048|0.002|  0
8150.33624| 0.0949|0.002|  0
8150.35058| 0.1002|0.003|  0
8150.42512| 0.0920|0.002|  0
8174.07458| 0.1082|0.002|  1
8174.16348| 0.0988|0.003|  0
8174.23805| 0.1012|0.002|  2
8174.25238| 0.1087|0.002|  0
8202.95030| 0.1077|0.002|256
8203.02487| 0.0927|0.002|  0
8236.96536| 0.1259|0.002|  2
8236.97965| 0.1291|0.001|  0
8237.14311| 0.1318|0.002|  2
8237.15742| 0.1385|0.001|  0
8258.84169| 0.1121|0.001|256
8258.91628| 0.1062|0.003|  0
8258.93058| 0.1082|0.003|  0
8259.00517| 0.1021|0.004|  2
8259.01948| 0.1076|0.002|  0
8296.69402| 0.0955|0.005|  0
8296.76854| 0.0893|0.002|  0
8296.78290| 0.0905|0.003|  0
8296.85742| 0.0921|0.002|  0
8296.87178| 0.0931|0.002|  0
8321.91752| 0.0936|0.001|256
8321.93185| 0.1014|0.002|  0
8322.00640| 0.0906|0.005|  0
8322.02076| 0.0900|0.003|  0
8322.09531| 0.0793|0.002|  0
8350.44082| 0.0876|0.002|  0
8350.45514| 0.0854|0.002|  2
8350.52971| 0.0859|0.002|256
8350.54402| 0.0862|0.001|  2
8350.61860| 0.0955|0.004|264
8402.68710| 0.0874|0.002|  0
8402.70141| 0.0827|0.002|  0
8402.77598| 0.0841|0.001|256
8402.79031| 0.0838|0.001|  0
8441.77305| 0.0810|0.002|  1
8441.78743| 0.0754|0.004|  1
8441.87627| 2.2915|0.211| 66
8456.17067| 0.0811|0.005|  0
8456.18501| 0.0849|0.002|256
8494.72211| 0.0780|0.002|  0
8494.73646| 0.0799|0.001|  0
8494.81101| 0.0748|0.002|  0
8494.82537| 0.0776|0.002|  0
8546.92207| 0.0918|0.001|  0
8546.99666| 0.0724|0.003|  2
8547.01099| 0.0918|0.003|  0
8601.02060| 0.0676|0.002|  0
8601.03489| 0.0681|0.002|  2
8639.22764| 0.0730|0.003|  0
8639.24196| 0.0697|0.002|  0
8639.31652| 0.0688|0.002|  0
8639.33087| 0.0777|0.002|  0
8639.40542| 0.0739|0.002|  0
8639.41974| 0.0790|0.002|  0
8661.63753| 0.0922|0.003|  0
8661.88987| 0.0812|0.003|  0
8661.90423| 0.0905|0.002| 64
8694.58872| 0.0765|0.002|  0
8694.60304| 0.0905|0.003|  2
8694.67756| 0.0773|0.002|  0
8694.69191| 0.0738|0.005|  0
8724.44341| 0.0754|0.001|  0
8724.45776| 0.0778|0.002|256
8724.53231| 0.0760|0.002|  0
8747.10377| 0.0694|0.003|  0
8747.11812| 0.0747|0.002|  0
8747.19267| 0.0667|0.002|  0
8747.20698| 0.0788|0.002|  0
8784.32585| 0.0730|0.002|  1
8784.34022| 0.0707|0.001|  1
8784.41476| 0.0702|0.003|  1
8784.42906| 0.0693|0.002|  1
8784.50368| 0.0660|0.003|  1
8784.51797| 0.0658|0.003|  1
8799.70122| 0.0699|0.004|  2
9026.83199| 0.0752|0.006|  2

  ------------------------------------------------------------------------

                                [ Dynamically generated: Wed Mar 15 11:48:34
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
