  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 27989

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    27989             HIP number
HH2  :                      Component flag
HH3  :        2.316         V-I (mag)
HH4  :       66             Total transits, Ntot
HH5  :       57             Accepted transits, Nacc
HH6  :        0.4997        Median magnitude,  Hp (mag)
HH7  :        0.0234        sigma Hp (mag)
HH8  :        0.33           5th percentile (max) (mag)
HH9  :        0.62          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : U                    Variability type
HH13 : 2                    Annex flag (tables)
HH14 : C                    Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7960.82032| 0.6226|0.004|  1
8007.18463| 0.6416|0.004|  1
8007.19893| 0.6386|0.004|  1
8142.45905| 0.5164|0.003|  1
8142.47338| 0.5181|0.003|  1
8169.65086| 0.5172|0.005|  0
8189.82558| 0.5034|0.004|  0
8189.83992| 0.4997|0.005|  0
8189.91448| 0.4987|0.005|  0
8189.92882| 0.4979|0.005|  0
8307.49214| 0.5252|0.003|  0
8307.58104| 0.5395|0.005|  0
8330.16412| 0.5698|0.008|  0
8330.34188| 0.5841|0.008|  0
8354.49431| 0.6036|0.003|  0
8354.50862| 0.6106|0.004|  0
8354.58320| 0.6133|0.006|  0
8354.59750| 0.6140|0.004|  8
8489.15137| 0.3334|0.003|  2
8489.16571| 0.3257|0.006|  0
8489.24029| 0.3367|0.005|  0
8489.25460| 0.3345|0.005|  0
8489.32917| 0.3260|0.003|  0
8489.34353| 0.3309|0.005|  0
8508.09630| 0.3323|0.006|  0
8536.72675| 0.3632|0.006|  0
8536.74108| 0.3607|0.007|  0
8536.81565| 0.3452|0.005|256
8536.82999| 0.3748|0.008|  0
8656.79671| 0.4168|0.002|256
8656.88557| 0.4252|0.006|  0
8656.89991| 0.4194|0.004|  0
8656.97447| 0.4283|0.006|  0
8656.98878| 0.4245|0.007|  0
8657.06333| 0.4263|0.006|  0
8657.07765| 0.4198|0.006|  0
8657.15220| 0.4299|0.005|  0
8657.16656| 0.4160|0.004|256
8667.63955| 0.4132|0.004|256
8667.72845| 0.4239|0.003|  0
8667.74277| 0.4172|0.004|  0
8667.81731| 0.4253|0.005|  0
8667.83168| 0.4239|0.006|  0
8667.99507| 0.4168|0.004|  0
8668.00942| 0.4206|0.005|256
8700.86591| 0.4508|0.005|  0
8700.88023| 0.4666|0.004|  0
8700.95479| 0.4670|0.005|  0
8700.96911| 0.4594|0.004|  0
8735.86686| 0.5366|0.005|256
8735.88121| 0.5295|0.004|  0
8735.95576| 0.5449|0.009|  0
8735.97008| 0.5441|0.006|  0
8736.04463| 0.5375|0.006|  0
8736.05896| 0.5407|0.006|  0
8736.13351| 0.5315|0.004|  0
8736.14782| 0.5310|0.006|  0
8744.75455| 0.5460|0.005|256
8744.76888| 0.5625|0.005|  0
8744.84346| 0.5650|0.007|  0
8744.85778| 0.5768|0.005|  0
8744.93234| 0.5773|0.008|  0
8744.94668| 0.5794|0.007|  0
8745.02121| 0.5805|0.007|  0
8745.03555| 0.5773|0.006|  0
8745.12443| 0.5592|0.005|256

  ------------------------------------------------------------------------

                                [ Dynamically generated: Wed Mar 15 09:49:42
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
