  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 15863

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    15863             HIP number
HH2  :                      Component flag
HH3  :        0.630         V-I (mag)
HH4  :       87             Total transits, Ntot
HH5  :       76             Accepted transits, Nacc
HH6  :        1.8972        Median magnitude,  Hp (mag)
HH7  :        0.0008        sigma Hp (mag)
HH8  :        1.89           5th percentile (max) (mag)
HH9  :        1.91          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : M                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7916.85128| 1.8894|0.002|  0
7937.45125| 1.8889|0.002|  0
7937.46555| 1.9003|0.004|  0
7964.11911| 1.9001|0.003|  0
7964.19367| 1.8970|0.002|  0
7964.20799| 1.8922|0.002|  2
7964.28257| 1.8945|0.002|  0
7964.29687| 1.8966|0.002|  0
8081.40068| 1.8965|0.003|  0
8081.41501| 1.8926|0.002|  0
8081.48958| 1.8939|0.002|  0
8081.50390| 1.8891|0.002|  0
8081.57846| 1.8915|0.002|  0
8081.59281| 1.8895|0.002|  0
8098.46630| 1.8954|0.002|  0
8098.48061| 1.8897|0.002|  0
8098.64409| 1.8946|0.002|  0
8098.65841| 1.9009|0.002|  0
8130.73731| 1.9093|0.004|  1
8130.81192| 1.9051|0.002|  1
8130.82624| 1.9007|0.002|  1
8130.90081| 1.9042|0.002|  1
8130.91513| 1.9037|0.002| 17
8166.08431| 1.8946|0.002|  0
8166.09864| 1.8952|0.002|  0
8166.17319| 1.8898|0.002|  0
8166.26209| 1.8911|0.002|  0
8176.75067| 1.8928|0.002|  0
8176.83956| 1.8954|0.002|  0
8176.85388| 1.9006|0.003|  0
8176.92847| 1.8974|0.002|  0
8265.13968| 1.9018|0.003|  0
8265.21425| 1.9074|0.002|256
8265.22857| 1.9096|0.002|  0
8265.30314| 1.9029|0.002|  0
8265.31744| 1.9012|0.002|  0
8265.39202| 1.8992|0.003|  0
8265.40633| 1.9044|0.002|  0
8277.30075| 1.9021|0.003|  0
8277.31508| 1.8973|0.003|  0
8277.38963| 1.8945|0.002|  0
8310.08001| 1.9003|0.004|  2
8310.09435| 1.8969|0.002|  2
8310.16891| 1.9024|0.002|  2
8310.18321| 1.8952|0.002|  2
8342.77425| 1.8984|0.003|  0
8342.78856| 1.8944|0.002|  0
8342.86314| 1.8995|0.002|  0
8342.87744| 1.8966|0.001|  0
8342.95202| 1.8971|0.002|  0
8342.96632| 1.8966|0.003|  0
8343.04090| 1.8996|0.002|  0
8343.05520| 1.8975|0.002|264
8356.99423| 1.8986|0.003|  0
8357.00852| 1.8974|0.002|  0
8357.26085| 1.8990|0.002|256
8357.27518| 1.8956|0.002|264
8475.90347| 1.8954|0.002|  0
8475.91779| 1.8978|0.002|  0
8475.99237| 1.8978|0.002|  0
8476.00669| 1.9008|0.003|  0
8504.96046| 1.8998|0.005|  0
8504.97482| 1.8998|0.002|  0
8505.04935| 1.8938|0.002|256
8505.06365| 1.8966|0.003|  8
8524.86785| 1.8922|0.002|256
8524.88218| 1.8907|0.002|  2
8524.95677| 1.8935|0.002|256
8524.97104| 1.8907|0.002|  0
8656.54075| 1.8959|0.002|  0
8656.55509| 1.9007|0.002|  0
8656.62965| 1.8949|0.002|  0
8680.61863| 1.8992|0.002|  0
8680.63296| 1.8925|0.002|  0
8680.70748| 1.8939|0.002|  0
8680.72182| 1.8997|0.002|  0
8704.44588| 1.8963|0.002|  0
8821.08665| 1.9019|0.004|  0
8821.16123| 1.9007|0.002|  0
8821.17555| 1.8887|0.002|  0
8821.25011| 1.8930|0.002|  0
9007.39299| 1.9105|0.002|  0
9007.40731| 1.8985|0.002|256
9007.48187| 1.8975|0.002|  0
9007.49620| 1.8958|0.002|256
9040.55741| 1.9050|0.002|  0
9040.57175| 1.9024|0.003|  0

  ------------------------------------------------------------------------

                                [ Dynamically generated: Tue Mar 14 13:32:34
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
