  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 21421

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    21421             HIP number
HH2  :                      Component flag
HH3  :        1.670         V-I (mag)
HH4  :       58             Total transits, Ntot
HH5  :       43             Accepted transits, Nacc
HH6  :        1.0024        Median magnitude,  Hp (mag)
HH7  :        0.0026        sigma Hp (mag)
HH8  :        0.99           5th percentile (max) (mag)
HH9  :        1.02          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : M                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7930.33651| 1.0157|0.002|  0
7930.35085| 1.0049|0.004|  0
7959.38711| 0.9999|0.004|256
7959.40143| 0.9917|0.005|  0
7959.47597| 1.0032|0.002|  0
7959.49031| 1.0027|0.002|  0
8092.71058| 1.0158|0.004|  1
8092.87406| 1.0125|0.002|  0
8092.88842| 1.0106|0.003|  0
8093.14076| 1.0149|0.003|256
8093.15508| 1.0143|0.003|  0
8102.20762| 0.9848|0.003|256
8102.39973| 0.9908|0.004|  0
8102.47430| 0.9953|0.002|264
8102.48863| 0.9943|0.002|264
8173.29277| 0.9941|0.003|  0
8173.30710| 0.9963|0.003|  0
8180.58198| 1.0121|0.002|256
8180.59628| 1.0140|0.002|256
8180.84866| 1.0075|0.003|256
8180.86296| 1.0113|0.003|  0
8180.93755| 1.0095|0.002|  0
8180.95188| 1.0114|0.003|  0
8181.02646| 1.0027|0.003|  0
8181.04077| 1.0189|0.004|  0
8335.03513| 0.9911|0.002|  0
8335.04945| 0.9931|0.002|  0
8335.21289| 0.9915|0.002|256
8351.38623| 0.9957|0.003|  0
8351.40055| 0.9909|0.004|  0
8351.47510| 0.9989|0.002|  0
8351.48943| 0.9916|0.003|  8
8351.65287| 0.9991|0.002|256
8351.66719| 0.9942|0.003|  0
8483.46380| 1.0013|0.003|256
8483.47812| 0.9974|0.003|  0
8483.55272| 1.0103|0.003|  0
8483.56702| 1.0021|0.002|  0
8483.64160| 1.0072|0.003|  0
8483.65592| 1.0024|0.004|  0
8509.59002| 1.0023|0.005|  0
8509.60439| 1.0061|0.002|  0
8509.67894| 1.0117|0.004|  0
8509.69330| 1.0084|0.003|  0
8653.15585| 0.9998|0.001|256
8653.17013| 1.0091|0.007|  0
8653.24476| 1.0099|0.003|  0
8653.34796| 1.0087|0.003|  0
8674.03688| 1.0012|0.003|256
8674.05120| 0.9922|0.004|  0
8699.18028| 0.9899|0.003|  0
8699.19460| 0.9957|0.003|  0
8699.26919| 0.9973|0.004|  0
8699.28351| 1.0007|0.004|  0
8699.35805| 0.9937|0.003|  0
8699.37237| 0.9858|0.003|  0
8830.83548| 1.0076|0.003|256
8830.84980| 1.0008|0.004|  0

  ------------------------------------------------------------------------

                                [ Dynamically generated: Tue Mar 14 13:33:28
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
