  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 82273

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    82273             HIP number
HH2  :                      Component flag
HH3  :        1.333         V-I (mag)
HH4  :      172             Total transits, Ntot
HH5  :      129             Accepted transits, Nacc
HH6  :        2.0711        Median magnitude,  Hp (mag)
HH7  :        0.0006        sigma Hp (mag)
HH8  :        2.06           5th percentile (max) (mag)
HH9  :        2.08          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : M                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7921.24944| 2.0720|0.003|  0
7921.32401| 2.0755|0.002|  0
7921.33834| 2.0683|0.004|  1
7969.48455| 2.0743|0.002|  0
7969.49886| 2.0762|0.002|  0
7969.57346| 2.0798|0.003|  0
7969.58780| 2.0827|0.002|  0
8021.48559| 2.0696|0.002|  1
8021.56013| 2.0705|0.004|  1
8021.57445| 2.0700|0.002|  1
8021.64900| 2.0742|0.004|  1
8021.66335| 2.0707|0.004|  1
8076.66178| 2.0701|0.003|  0
8076.73636| 2.0771|0.008|  0
8076.75066| 2.0684|0.002|  0
8076.91414| 2.0687|0.003|  0
8076.92844| 2.0697|0.003|  2
8077.00302| 2.0683|0.002|  0
8077.01733| 2.0681|0.003|  2
8077.09191| 2.0679|0.002|  0
8077.10623| 2.0634|0.002|  2
8077.19511| 2.0656|0.003|  1
8077.35856| 2.0669|0.004|  1
8077.37288| 2.0697|0.005|  1
8091.13500| 2.0711|0.002|  1
8091.14932| 2.0688|0.005|  1
8091.22389| 2.1035|0.010|256
8091.23820| 2.0705|0.003|  1
8091.31275| 2.1038|0.008|256
8091.32709| 2.0784|0.003|  1
8091.40165| 2.0711|0.003|  1
8091.49054| 2.0735|0.006|  1
8091.50486| 2.0629|0.003|  1
8130.31874| 2.0931|0.009|256
8130.33307| 2.1037|0.008|256
8130.40762| 2.0992|0.009|256
8130.42197| 2.0912|0.011|  0
8160.43668| 2.0677|0.002|  1
8160.45100| 2.0941|0.008|256
8160.52557| 2.0935|0.009|256
8160.53988| 2.1010|0.009|256
8180.60745| 2.1512|0.028|  2
8180.62176| 2.0686|0.002|256
8180.71061| 2.0714|0.003|  1
8180.78522| 2.0696|0.002|  0
8180.79951| 2.0770|0.002|  0
8221.21458| 2.0903|0.005|256
8221.28913| 2.0997|0.006|256
8221.30347| 2.0876|0.006|256
8221.37801| 2.0990|0.007|256
8221.39236| 2.0860|0.010|256
8221.55576| 2.0848|0.009|  0
8221.57013| 2.0883|0.010|256
8221.64468| 2.0810|0.009|  0
8221.65902| 2.0924|0.009|256
8221.73356| 2.0813|0.009|  0
8221.74790| 2.0968|0.010|256
8221.82245| 2.0822|0.006|256
8221.83679| 2.1009|0.008|256
8224.75568| 2.0821|0.003|256
8224.84457| 2.0848|0.005|256
8224.85889| 2.0917|0.008|256
8224.93345| 2.0838|0.005|256
8224.94779| 2.0921|0.008|256
8225.02236| 2.0693|0.002|  1
8225.20012| 2.0788|0.009|  0
8225.21446| 2.0858|0.009|256
8225.28901| 2.0786|0.008|  0
8225.30333| 2.0806|0.009|  0
8225.37789| 2.0852|0.009|256
8225.39223| 2.0809|0.010|256
8225.57000| 2.0845|0.007|256
8268.64869| 2.0674|0.004|  0
8268.72324| 2.0767|0.002|  0
8268.73758| 2.0761|0.002|  0
8268.81214| 2.0814|0.004|  0
8268.82648| 2.0766|0.003|  0
8268.90102| 2.0733|0.003|  0
8268.91536| 2.0734|0.005|  0
8279.30031| 2.0737|0.003|  0
8279.31461| 2.0657|0.004|  0
8279.38920| 2.0763|0.002|256
8279.40350| 2.0760|0.003|  0
8279.47809| 2.0703|0.002|  0
8279.49238| 2.0677|0.002|256
8279.56699| 2.0716|0.005|  0
8279.58130| 2.0669|0.002|  0
8314.83559| 2.0696|0.003|  0
8314.84989| 2.0724|0.003|  0
8314.92448| 2.0748|0.003|  0
8314.93876| 2.0718|0.003|  0
8315.01338| 2.0775|0.004|  0
8340.69413| 2.0616|0.004|  0
8340.70844| 2.0624|0.002|  0
8340.78303| 2.0705|0.003|  0
8340.79735| 2.0665|0.002|  0
8365.57713| 2.0684|0.005|  0
8365.59149| 2.0718|0.003|  0
8365.66603| 2.0678|0.002|  0
8365.68035| 2.0755|0.002|  0
8365.85814| 2.0704|0.004|  0
8474.27215| 2.0713|0.002|  0
8474.34671| 2.0683|0.002|  0
8474.36103| 2.0686|0.002|  0
8474.43563| 2.0695|0.003|  2
8499.84881| 2.0658|0.004|  0
8499.86315| 2.0693|0.003|  0
8499.93772| 2.0743|0.005|  0
8499.95204| 2.0700|0.002|  0
8500.02660| 2.0783|0.005|  0
8500.04089| 2.0805|0.005|  0
8526.34035| 2.0722|0.004|  0
8526.50376| 2.0684|0.003|256
8562.51127| 2.0684|0.004|  0
8562.52562| 2.0826|0.005|  2
8562.60012| 2.0766|0.003|  0
8562.61447| 2.0735|0.003|  0
8562.68903| 2.0700|0.003|256
8562.70335| 2.0769|0.003|  0
8573.35413| 2.0709|0.005|  0
8616.96527| 2.0759|0.004|  2
8616.97961| 2.0738|0.003|  0
8617.05415| 2.0715|0.003|  0
8617.06847| 2.0686|0.002|  0
8617.14302| 2.0723|0.004|  0
