  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 54061

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    54061             HIP number
HH2  : *                    Component flag
HH3  :        1.037         V-I (mag)
HH4  :      179             Total transits, Ntot
HH5  :      158             Accepted transits, Nacc
HH6  :        1.9519        Median magnitude,  Hp (mag)
HH7  :        0.0004        sigma Hp (mag)
HH8  :        1.94           5th percentile (max) (mag)
HH9  :        1.96          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : D                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7889.32097| 1.9520|0.006|  1
7930.35762| 1.9581|0.003|  0
7930.37194| 1.9583|0.002| 32
7930.44649| 1.9495|0.003|  0
7930.46082| 1.9554|0.003|  0
7930.53540| 1.9481|0.002|  0
7930.54967| 1.9505|0.002|  0
7930.62427| 1.9494|0.002|  0
7930.63859| 1.9527|0.003|  0
7936.57952| 1.9500|0.001|  1
7936.59386| 1.9486|0.002|  1
7936.66840| 1.9505|0.002|  1
7936.68272| 1.9509|0.002|  1
7936.75729| 1.9518|0.002|  1
7936.77163| 1.9509|0.003|  1
7936.84617| 1.9527|0.003|  1
7936.86052| 2.0096|0.011|  1
7977.00834| 1.9760|0.005|  1
7977.08291| 1.9530|0.002|  1
7977.09725| 1.9491|0.003|  1
7977.17179| 1.9477|0.002|  1
7977.18613| 1.9472|0.005|  1
7995.38841| 1.9533|0.003|  0
7995.40275| 1.9442|0.007|  2
7995.47731| 1.9476|0.002|  8
7995.49164| 1.9568|0.005| 10
8027.37065| 1.9442|0.002|  0
8027.38499| 1.9513|0.002|  0
8061.57734| 1.9512|0.003|  0
8061.84398| 1.9550|0.002|  1
8061.85830| 1.9528|0.002|  1
8081.75676| 1.9539|0.002|  0
8081.83135| 1.9515|0.002|  0
8081.84565| 1.9507|0.003|  0
8081.92024| 1.9525|0.002|  0
8081.93456| 1.9525|0.002|  0
8082.00910| 1.9552|0.002|  0
8082.02342| 1.9564|0.002|  0
8133.01649| 1.9586|0.002|  1
8133.03082| 1.9554|0.002|  1
8133.10538| 1.9509|0.002|  1
8133.28317| 1.9509|0.002|  1
8133.29750| 1.9493|0.002|  1
8133.37205| 1.9495|0.002|  1
8133.38640| 1.9499|0.002|  1
8150.70409| 1.9479|0.002|  1
8150.71841| 1.9513|0.002|  1
8150.79298| 1.9512|0.003|  1
8150.89618| 1.9416|0.003|  1
8150.97075| 1.9447|0.002|  1
8150.98507| 1.9453|0.002|  1
8151.05969| 1.9454|0.002|  0
8151.07398| 1.9452|0.002|  0
8186.95824| 1.9554|0.004|  2
8186.97254| 1.9549|0.004|  0
8236.09715| 1.9494|0.002|  0
8274.84124| 1.9558|0.003|  0
8274.91582| 1.9466|0.003|  0
8274.93014| 1.9525|0.002|  0
8275.00471| 1.9508|0.003|  0
8275.01903| 1.9558|0.003|  0
8281.93779| 1.9456|0.002|  0
8281.95209| 1.9475|0.002|  0
8282.02667| 1.9460|0.003|  2
8282.04101| 1.9541|0.002|  0
8282.11555| 1.9480|0.002|  0
8282.12988| 1.9545|0.002|  0
8323.43124| 1.9390|0.007|  0
8323.50580| 1.9622|0.005|  0
8323.52014| 1.9521|0.002|  0
8323.68359| 1.9501|0.003|  0
8323.69791| 1.9518|0.003|  0
8336.30345| 1.9283|0.008|  2
8336.31778| 1.9516|0.003|  0
8336.39234| 1.9534|0.003|256
8336.40662| 1.9500|0.002|  0
8371.92445| 1.9466|0.003|256
8372.02766| 1.9544|0.003|  0
8399.11253| 1.9516|0.002|  0
8399.12683| 1.9510|0.002|  0
8399.20139| 1.9514|0.002|256
8399.21572| 1.9514|0.003|  0
8399.29027| 1.9588|0.005|  0
8424.88185| 1.9556|0.004|  0
8424.89613| 1.9522|0.002|  0
8424.98506| 1.9538|0.002|  0
8425.05962| 1.9627|0.003|  0
8425.07392| 1.9448|0.005|  0
8473.05706| 1.9592|0.002|  0
8473.23482| 1.9570|0.004|  0
8473.32375| 1.9581|0.003|  0
8473.39831| 1.9564|0.002|  0
8473.41263| 1.9527|0.003|  0
8473.48715| 1.9486|0.002|  0
8473.50152| 1.9519|0.002|256
8473.67930| 1.9484|0.002|  0
8473.76817| 1.9481|0.003|  0
8473.84275| 1.9596|0.004|  0
8473.85705| 1.9465|0.005|  0
8484.42021| 1.9601|0.003|  0
8484.50906| 1.9556|0.002|  0
8484.52339| 1.9595|0.003|  0
8484.61226| 1.9556|0.006|  0
8484.77572| 1.9559|0.003|  0
8484.79004| 1.9516|0.003|  0
8484.86462| 1.9510|0.004|  0
8484.87893| 1.9561|0.004|  0
8484.95350| 1.9489|0.003|  0
8484.96782| 1.9534|0.004|  0
8485.22019| 1.9518|0.002|  0
8485.23448| 1.9536|0.004|  0
8485.30908| 1.9507|0.004|  0
8485.32336| 1.9596|0.004|  0
8485.39795| 1.9505|0.005|  0
8485.41227| 1.9572|0.003|  0
8557.06787| 1.9566|0.003|  0
8582.20119| 1.9556|0.003|  0
8582.21552| 1.9516|0.004|  0
8617.21726| 1.9400|0.005|  0
8617.29181| 1.9551|0.002|  0
8617.30614| 1.9490|0.003|  0
8617.46962| 1.9568|0.003|  0
8628.93519| 1.9552|0.003|  0
8628.94952| 1.9466|0.002|256
8629.02410| 1.9513|0.003|  0
8629.03842| 1.9429|0.003|  0
8629.11299| 1.9539|0.004|  0
8629.12733| 1.9537|0.003|  0
8670.32604| 1.9530|0.003|  0
8670.34035| 1.9501|0.002|  0
8670.41493| 1.9517|0.002|256
8670.42926| 1.9509|0.003|  0
8670.50382| 1.9488|0.002|  0
8670.51816| 1.9573|0.002|  0
8678.05877| 1.9609|0.004|256
8678.07305| 1.9475|0.005|  0
8678.23653| 1.9547|0.002|256
8678.25083| 1.9521|0.003|  0
8678.32541| 1.9502|0.003|  0
8678.33974| 1.9536|0.003|  0
8678.41429| 1.9512|0.003|  0
8678.42862| 1.9563|0.002|256
8717.23061| 1.9568|0.003|  0
8717.24495| 1.9535|0.002|  0
8717.31950| 1.9501|0.003|256
8717.33384| 1.9469|0.003|  0
8738.55629| 1.9583|0.002|  0
8738.57061| 1.9513|0.003|  0
8768.67486| 1.9553|0.005|  0
8768.68918| 1.9559|0.003|  0
8807.05819| 1.9671|0.004|  0
8807.23594| 2.0218|0.018| 34
8807.25026| 1.9455|0.003|  0
8807.32485| 1.9734|0.005|  0
8807.33916| 1.9524|0.004|  0
8807.41373| 1.9447|0.005|  0
8807.42803| 1.9583|0.003|  0
8823.80044| 1.9509|0.002|256
8823.81473| 1.9589|0.003|  0
8823.88932| 1.9473|0.004|256
8823.90362| 1.9485|0.004|  0
8823.97823| 1.9407|0.003|256
8824.18124| 1.9562|0.007|  0
8959.64766| 1.9472|0.002|  0
8959.66200| 1.9860|0.002|256
9003.87327| 1.9889|0.009|  0
9003.94786| 1.9640|0.004|  0
9003.96219| 1.9613|0.004|  2
9011.93765| 1.9544|0.006|  0
9012.01219| 1.9594|0.002|256
9012.20831| 1.9596|0.003|256
9012.22265| 1.9525|0.003|  0
9012.29723| 1.9496|0.003|  0
9053.87195| 1.9596|0.002|256
9053.88624| 1.9819|0.007| 66
9053.96083| 1.9535|0.002|  0
9053.97513| 1.9485|0.003|  0
9054.04970| 1.9511|0.003|  0
9054.06401| 1.9588|0.002|  0

  ------------------------------------------------------------------------

                                [ Dynamically generated: Wed Mar 15 09:55:00
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
