  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 11767

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    11767             HIP number
HH2  :                      Component flag
HH3  :        0.676         V-I (mag)
HH4  :      126             Total transits, Ntot
HH5  :      102             Accepted transits, Nacc
HH6  :        2.1077        Median magnitude,  Hp (mag)
HH7  :        0.0021        sigma Hp (mag)
HH8  :        2.09           5th percentile (max) (mag)
HH9  :        2.13          95th percentile (min) (mag)
HH10 :        3.9707000     Variability period, P (day)
HH11 :     8501.5900        Reference epoch (day)
HH12 : P                    Variability type
HH13 : 1                    Annex flag (tables)
HH14 : A                    Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7886.64714| 2.1067|0.004|  1
7886.66144| 2.1028|0.004|  1
7941.63805| 2.0942|0.002|  0
7941.65238| 2.0896|0.002|  0
7941.72694| 2.0979|0.002|  0
7941.74126| 2.0937|0.002|264
7973.53085| 2.1007|0.002|  1
7973.54521| 2.0997|0.002|  1
7973.61977| 2.1029|0.002|  1
7973.63407| 2.0993|0.003|  1
8002.24398| 2.1114|0.002|  1
8002.31856| 2.1143|0.002|  1
8002.33284| 2.1092|0.002|  1
8002.40745| 2.1467|0.009|256
8029.24284| 2.1428|0.009|256
8029.25713| 2.0950|0.002|  1
8029.33174| 2.0912|0.002|  1
8029.34601| 2.0924|0.001|  9
8029.42060| 2.1055|0.003|  1
8029.43493| 2.1392|0.009|256
8066.82818| 2.1163|0.003|  1
8066.84249| 2.1154|0.004|  1
8066.91706| 2.1437|0.010|256
8066.93141| 2.1463|0.011|256
8067.09486| 2.1467|0.010|256
8067.10914| 2.1153|0.006|  1
8092.23570| 2.0977|0.004|  0
8092.25001| 2.1038|0.002|  0
8126.35756| 2.1208|0.002|  0
8126.37188| 2.1256|0.002|  0
8126.44646| 2.1282|0.002|256
8126.46076| 2.1371|0.002|  0
8156.40489| 2.1367|0.011|256
8156.47941| 2.1204|0.009|256
8156.49376| 2.1252|0.011|256
8156.56830| 2.1329|0.007|256
8214.76267| 2.1140|0.007|256
8231.20356| 2.0895|0.002|  0
8231.21790| 2.0880|0.002|256
8231.38135| 2.0894|0.002|  0
8231.39568| 2.0861|0.003|  0
8267.44474| 2.0962|0.002|  0
8267.45905| 2.0993|0.003|  0
8284.25460| 2.1076|0.002|  0
8284.32913| 2.1115|0.002|  0
8284.34347| 2.1120|0.003|  0
8284.41803| 2.1161|0.002|  0
8284.43237| 2.1195|0.004|  0
8317.90754| 2.1155|0.003|  0
8317.92183| 2.1153|0.002|  0
8317.99641| 2.1099|0.003|  0
