  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 71681

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    71681             HIP number
HH2  : B                    Component flag
HH3  :        0.879         V-I (mag)
HH4  :      108             Total transits, Ntot
HH5  :      101             Accepted transits, Nacc
HH6  :        1.6907        Median magnitude,  Hp (mag)
HH7  :        0.1259        sigma Hp (mag)
HH8  :        0.91           5th percentile (max) (mag)
HH9  :        2.20          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : D                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7874.51874| 2.1966|0.079| 17
7877.79332| 2.2617|0.079| 17
7878.41554| 2.1625|0.079| 17
7878.50439| 2.1984|0.076| 17
7917.68051| 2.0823|0.078| 17
7966.46619| 2.1272|0.076| 17
7966.56939| 2.0397|0.077| 17
7966.64397| 1.7909|0.104| 18
8076.11741| 1.4713|0.077| 18
8076.20630| 1.6469|0.090| 18
8076.22061| 1.7635|0.098| 18
8076.29518| 1.5146|0.107| 18
8097.80098| 1.8135|0.077| 48
8097.88987| 1.7511|0.078| 48
8128.54297| 2.1480|0.076| 17
8128.55724| 1.8917|0.077| 17
8163.18787| 1.5230|0.108| 18
8163.27675| 1.0775|0.081| 50
8176.60736| 1.9552|0.077| 25
8264.63333| 1.5999|0.124| 18
8264.64767| 1.7373|0.156| 18
8264.72222| 1.6680|0.093| 18
8264.73655| 1.7878|0.181| 18
8280.28973| 0.9193|0.086| 18
8280.36433| 0.9074|0.080| 18
8280.37864| 1.3238|0.109| 18
8311.72754| 2.0488|0.121| 18
8311.74183| 1.9889|0.083| 18
8311.81643| 1.9170|0.088| 18
8311.83075| 2.0559|0.087| 18
8311.90535| 1.7741|0.100| 18
8344.69375| 1.3175|0.100| 18
8344.78264| 1.7511|0.161| 26
8361.93690| 1.7005|0.091| 18
8361.95122| 1.7660|0.107| 18
8362.02579| 1.8127|0.079| 18
8362.04011| 1.9104|0.081| 18
8362.11468| 1.8231|0.088| 18
8362.12902| 1.9619|0.076| 16
8421.49293| 2.2038|0.079| 18
8421.56751| 1.4544|0.079| 18
8421.58182| 2.2001|0.076| 16
8421.74529| 1.5930|0.079| 18
8421.75960| 2.1587|0.077| 16
8421.83417| 1.6855|0.081| 18
8421.92306| 1.7003|0.084| 18
8421.93736| 2.0162|0.080| 18
8422.01197| 1.6200|0.084| 18
8422.02624| 2.0259|0.082| 16
8422.27861| 1.8090|0.110| 18
8422.36749| 1.7359|0.105| 18
8422.38181| 1.8086|0.110| 18
8422.45640| 1.7084|0.142| 18
8422.47068| 1.5720|0.132| 18
8422.64845| 1.3512|0.143| 18
8431.07805| 1.8146|0.125| 18
8431.09238| 1.8196|0.103| 18
8431.16694| 1.7162|0.096| 18
8431.18128| 1.8470|0.097| 18
8431.25580| 1.5209|0.102| 18
8431.34468| 1.5879|0.080| 18
8431.52246| 1.6275|0.078| 16
8431.53681| 2.1199|0.088| 18
8431.61135| 1.5534|0.082| 18
8431.62570| 2.0710|0.091| 18
8473.01588| 1.6444|0.077| 16
8473.03020| 1.9721|0.092| 18
8473.10479| 1.8788|0.084| 26
8473.19368| 1.9589|0.158| 18
8503.13406| 1.3772|0.127| 18
8503.14840| 1.3146|0.118| 18
8503.23728| 1.1114|0.135| 18
8523.40802| 1.9983|0.115| 18
8523.48258| 1.6874|0.081| 18
8523.57146| 1.8169|0.097| 18
8523.58580| 1.5626|0.110| 18
8612.62094| 2.1832|0.080| 16
8612.69551| 1.1679|0.161| 18
8612.70986| 1.5159|0.194| 18
8612.78439| 1.0373|0.123| 18
8612.79875| 1.3528|0.190| 18
8612.87331| 0.9309|0.080| 18
8621.22860| 0.9819|0.077| 16
8621.24289| 0.7099|0.077| 16
8621.40640| 0.9220|0.089| 18
8621.42069| 1.0399|0.105| 18
8621.49529| 1.2151|0.141| 18
8621.50960| 1.4912|0.137| 18
8657.56332| 1.7723|0.110| 18
8657.57768| 1.5189|0.107| 18
8657.65226| 1.6850|0.093| 18
8657.66657| 1.7312|0.122| 18
8682.79994| 0.9010|0.078| 16
8682.81426| 1.0631|0.132| 18
8682.88885| 0.9887|0.112| 18
8682.90315| 1.1675|0.119| 18
8707.14978| 1.9319|0.079| 18
8707.16410| 1.6907|0.085| 18
8707.23866| 1.8264|0.105| 18
8707.25297| 1.8251|0.077| 16
8707.32757| 1.6619|0.110| 18
8817.12717| 1.3146|0.088| 18
9010.35597| 0.9107|0.076| 16
9010.37031| 0.8243|0.081| 18
9010.44489| 0.8215|0.089| 18
9010.45920| 0.9001|0.121| 50
9010.53377| 1.5578|0.133| 18
9010.54810| 1.5405|0.144| 18

  ------------------------------------------------------------------------

                                [ Dynamically generated: Wed Mar 15 10:54:37
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
