  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                  HIP 3419

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :     3419             HIP number
HH2  :                      Component flag
HH3  :        0.997         V-I (mag)
HH4  :      123             Total transits, Ntot
HH5  :       95             Accepted transits, Nacc
HH6  :        2.2062        Median magnitude,  Hp (mag)
HH7  :        0.0008        sigma Hp (mag)
HH8  :        2.20           5th percentile (max) (mag)
HH9  :        2.23          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : U                    Variability type
HH13 : 2                    Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7874.71105| 2.2149|0.005|  1
8031.23827| 2.2065|0.003|  0
8031.31284| 2.2093|0.004|  0
8031.32717| 2.2067|0.003|  0
8031.40173| 2.2035|0.002|  0
8031.41608| 2.2134|0.004|256
8049.17731| 2.2099|0.002|  0
8049.19159| 2.2138|0.003|256
8079.66086| 2.2049|0.002|  0
8079.82435| 2.2005|0.002|  0
8203.55250| 2.2255|0.004|  0
8203.62707| 2.2056|0.003|  0
8203.64137| 2.2079|0.002|  0
8203.71595| 2.2062|0.002|  0
8203.81916| 2.2088|0.002|  0
8203.89371| 2.2009|0.002|  0
8203.90804| 2.2073|0.002|  0
8203.98260| 2.2047|0.002|  0
8203.99690| 2.2014|0.003|  0
8204.07148| 2.2064|0.002|  0
8204.08578| 2.2063|0.002|  0
8204.16037| 2.2043|0.002|  0
8204.26355| 2.2030|0.002|256
8204.33814| 2.2037|0.002|  0
8204.35243| 2.2070|0.002|  0
8211.00412| 2.2022|0.003|  0
8211.01843| 2.2025|0.002|  0
8211.09300| 2.2076|0.003|  0
8211.10733| 2.2107|0.003|  2
8211.18187| 2.2079|0.003|  2
8211.19620| 2.2149|0.002|  0
8246.46638| 2.2072|0.006|  0
8246.54093| 2.2015|0.002|  0
8246.55524| 2.2054|0.003|  0
8246.62981| 2.2111|0.002|  0
8246.64413| 2.2151|0.002|  0
8290.42989| 2.1920|0.002|  0
8290.44419| 2.1956|0.002|  0
8290.51877| 2.1936|0.003|  0
8290.53307| 2.1921|0.002|  0
8290.60765| 2.1943|0.002|  0
8290.62194| 2.1991|0.002|  0
8382.80007| 2.2107|0.003|  0
8382.81436| 2.2065|0.003|  0
8382.88894| 2.2110|0.004|  0
8382.90327| 2.2090|0.003|  0
8382.97783| 2.2155|0.002|264
8382.99219| 2.2282|0.002|  2
8383.42233| 2.2128|0.003|264
8383.43665| 2.2283|0.003|  2
8383.68897| 2.2082|0.002|  0
8383.70333| 2.2059|0.002|  0
8383.77788| 2.2119|0.002|  0
8383.79224| 2.2184|0.002|  0
8383.86676| 2.2144|0.002|264
8383.88112| 2.2341|0.003|  2
8384.05889| 2.2120|0.002|  0
