  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 37826

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    37826             HIP number
HH2  :                      Component flag
HH3  :        0.970         V-I (mag)
HH4  :      104             Total transits, Ntot
HH5  :       83             Accepted transits, Nacc
HH6  :        1.2947        Median magnitude,  Hp (mag)
HH7  :        0.0006        sigma Hp (mag)
HH8  :        1.29           5th percentile (max) (mag)
HH9  :        1.30          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : M                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7969.07456| 1.2906|0.002|  1
7969.08891| 1.2955|0.002|  1
7990.84366| 1.2945|0.002|  1
7990.85796| 1.2915|0.001|  1
7990.94685| 1.2885|0.003|  1
8016.16552| 1.2867|0.001|  1
8016.17983| 1.2903|0.003|  1
8016.25441| 1.2978|0.002|  1
8016.26869| 1.2901|0.002|  1
8016.34326| 1.2893|0.004|  1
8016.35758| 1.2979|0.003|  1
8144.49340| 1.2908|0.002|  1
8144.58231| 1.2902|0.001|  1
8144.67118| 1.2952|0.002|  1
8144.68550| 1.2966|0.002|  1
8161.64745| 1.3051|0.002|256
8161.66178| 1.2905|0.004|  0
8161.73635| 1.2947|0.002|  0
8161.75068| 1.2901|0.003|  0
8161.82527| 1.2907|0.001|  0
8161.83957| 1.2902|0.001|256
8190.97093| 1.3024|0.002|  1
8318.33979| 1.3014|0.002|  0
8318.35410| 1.3009|0.002|  0
8318.42865| 1.3000|0.002|  0
8318.44297| 1.2981|0.002|  0
8328.73814| 1.2947|0.002|256
8328.75247| 1.2951|0.002|  0
8328.82701| 1.2956|0.002|  0
8328.84133| 1.2942|0.002|  0
8329.00476| 1.2910|0.003|256
8329.01909| 1.3330|0.011|  0
8362.40742| 1.2951|0.001|256
8362.42175| 1.2931|0.001|  0
8399.36508| 1.2959|0.002|  2
8399.55717| 1.2916|0.002|  0
8399.63172| 1.2940|0.001|  0
8399.64605| 1.2884|0.002|  0
8399.72060| 1.2931|0.001|  0
8399.73493| 1.2920|0.002|  0
8399.80949| 1.2932|0.002|  0
8399.82381| 1.2950|0.002|  0
8399.98725| 1.2959|0.002|  0
8400.00158| 1.2940|0.002|  0
8400.07613| 1.2957|0.002|  0
8400.09048| 1.2945|0.002|  0
8400.16501| 1.2930|0.002|  0
8400.17936| 1.2973|0.003|  0
8400.25389| 1.2924|0.001|256
8400.26821| 1.2988|0.003|  0
8404.16464| 1.2967|0.002|  0
8404.25354| 1.3023|0.002|  0
8404.26788| 1.2911|0.002|256
8404.43131| 1.2994|0.001|264
8404.44565| 1.2978|0.002|256
8404.52019| 1.2953|0.002|256
8404.53453| 1.2952|0.002|  0
8404.60906| 1.3003|0.002|  0
8404.62339| 1.2960|0.002|  0
8404.69793| 1.3013|0.002|  0
8404.71231| 1.3031|0.002|  2
8404.96459| 1.2932|0.001|  0
8404.97892| 1.2913|0.002|  0
8405.05346| 1.2937|0.002|  0
8405.06782| 1.2877|0.002|256
8405.14235| 1.2973|0.003|  0
8405.15669| 1.2934|0.002|  0
8537.16067| 1.2929|0.002|  0
8537.17501| 1.2975|0.003|  0
8537.24958| 1.2924|0.001|256
8537.26388| 1.2936|0.004|  0
8566.92761| 1.2941|0.002|256
8566.94194| 1.2940|0.003|  0
8567.01648| 1.2973|0.002|  0
8567.03083| 1.2995|0.002|  0
8567.10539| 1.2936|0.002|  0
8567.11970| 1.2904|0.003|  2
8582.39296| 1.2997|0.002|  0
8582.40730| 1.3004|0.001|256
8582.48185| 1.2975|0.002|  0
8582.49619| 1.3014|0.002|  0
8582.57077| 1.3014|0.002|  0
8582.58509| 1.3009|0.002|  0
8708.51217| 1.2947|0.004|  0
8708.52649| 1.2872|0.002|  0
8708.60105| 1.2921|0.002|  0
8708.61536| 1.2935|0.002|256
8708.68990| 1.2901|0.003|  1
8755.86989| 1.3084|0.005|  0
8755.88420| 1.2909|0.002|256
8755.95876| 1.2945|0.002|  0
8755.97307| 1.2914|0.003|  0
8756.04764| 1.2956|0.003|256
8756.06195| 1.2935|0.003|  8
8931.68060| 1.2908|0.002|  0
8931.69491| 1.3011|0.002|  0
9048.71161| 1.2942|0.004|  0
9048.72589| 1.2859|0.007|  0
9048.98191| 1.2991|0.002|  0
9048.99624| 1.2964|0.002|256
9049.07081| 1.2977|0.002|256
9049.08514| 1.2868|0.004|256
9059.70692| 1.3115|0.006|  0
9059.72124| 1.2975|0.004|  0

  ------------------------------------------------------------------------

                                [ Dynamically generated: Tue Mar 14 13:36:10
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
