  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 86742

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    86742             HIP number
HH2  :                      Component flag
HH3  :        1.104         V-I (mag)
HH4  :      158             Total transits, Ntot
HH5  :      139             Accepted transits, Nacc
HH6  :        2.9279        Median magnitude,  Hp (mag)
HH7  :        0.0003        sigma Hp (mag)
HH8  :        2.92           5th percentile (max) (mag)
HH9  :        2.94          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 :                      Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7915.89648| 2.9345|0.004|  0
7915.97104| 2.9283|0.004|256
7915.98537| 2.9306|0.004|  0
7916.14882| 2.9279|0.002|  0
7916.16316| 2.9275|0.003|  0
7916.23770| 2.9261|0.003|  0
7916.25204| 2.9281|0.003|  0
7916.32660| 2.9273|0.003|  0
7916.34094| 2.9282|0.003|  0
7916.41550| 2.9260|0.003|  0
7916.42982| 2.9260|0.003|  0
7916.59330| 2.9325|0.003|  0
7916.60762| 2.9305|0.004|  0
7916.68219| 2.9290|0.004|  0
7916.69652| 2.9293|0.003|256
7916.77108| 2.9323|0.003|  0
7916.78541| 2.9268|0.004|  0
7916.85997| 2.9329|0.003|  0
7916.87431| 2.9349|0.003|  0
7917.21554| 2.9304|0.003|  0
7917.22988| 2.9289|0.003|  0
7917.30445| 2.9314|0.003|  0
7917.31875| 2.9290|0.003|256
7917.48224| 2.9289|0.003|  0
7917.49654| 2.9328|0.003|256
7917.57112| 2.9269|0.004|  0
7917.58544| 2.9247|0.003|256
7917.66003| 2.9290|0.003|  0
7917.67435| 2.9287|0.002|256
7917.74892| 2.9248|0.003|  0
7917.76324| 2.9258|0.003|256
7918.46005| 2.9313|0.003|  0
7918.47440| 2.9305|0.003|256
7918.54896| 2.9323|0.003|  0
7918.56329| 2.9275|0.003|256
7918.63784| 2.9302|0.003|  0
7918.65216| 2.9279|0.003|256
7919.26011| 2.9283|0.003|  0
7919.27443| 2.9346|0.003|256
7919.34901| 2.9247|0.003|  0
7919.36331| 2.9270|0.003|  0
7919.43789| 2.9252|0.003|  0
7919.45222| 2.9266|0.004|  0
7919.52680| 2.9305|0.003|  0
7919.54110| 2.9296|0.004|  8
7919.70457| 2.9270|0.002|  0
7919.71891| 2.9311|0.003|  0
7919.79349| 2.9234|0.002|  0
7919.80778| 2.9346|0.002|  0
7958.35845| 2.9286|0.003|  1
7958.37277| 2.9322|0.002|  0
7958.44735| 2.9266|0.003|  0
7958.46166| 2.9246|0.003|  0
7958.53627| 2.9290|0.002|256
7989.54561| 2.9265|0.003|  2
7989.55994| 2.9225|0.003|  0
7989.63450| 2.9261|0.003|  0
7989.64885| 2.9281|0.003|  0
7989.72340| 2.9228|0.003|  0
7989.73775| 2.9259|0.003|  0
8005.18841| 2.9250|0.004|  0
8005.20276| 2.9276|0.003|  0
8005.27729| 2.9264|0.002|  8
8005.29162| 2.9229|0.003|  1
8100.04371| 2.9268|0.003|  0
8100.05804| 2.9271|0.003|  0
8100.13262| 2.9307|0.004|  0
8100.14692| 2.9292|0.002|  0
8100.22148| 2.9305|0.002|  0
8100.23580| 2.9296|0.003|  0
8100.84367| 2.9255|0.003|  0
8100.85800| 2.9276|0.003|  0
8100.93256| 2.9235|0.003|  0
8100.94688| 2.9272|0.003|  0
8101.02146| 2.9248|0.002|  0
8101.03576| 2.9288|0.002|  0
8101.11032| 2.9230|0.002|  0
8101.12466| 2.9251|0.003|  0
8101.37697| 2.9305|0.004|  0
8101.39131| 2.9314|0.005|  0
8102.71023| 2.9312|0.003|  0
8102.72452| 2.9245|0.003|  0
8102.79911| 2.9284|0.004|  0
8103.16895| 2.9359|0.002|  1
8103.24351| 2.9281|0.002|  1
8103.33237| 2.9289|0.002|  1
8103.34672| 2.9273|0.003|  1
8103.59906| 2.9292|0.003|  0
8103.61338| 2.9286|0.003|  0
8103.68794| 2.9237|0.003|  0
8103.70226| 2.9279|0.003|  0
8103.77682| 2.9298|0.003|  0
8103.79114| 2.9328|0.003|  0
8104.04345| 2.9314|0.003|  0
8143.57508| 2.9349|0.003|  1
8143.67829| 2.9266|0.002|  1
8172.01982| 2.9280|0.003|256
8172.09439| 2.9254|0.003|  0
8172.10869| 2.9298|0.003|  0
8172.18327| 2.9341|0.003|  0
8172.19756| 2.9323|0.002|  1
8191.99983| 2.9279|0.005|  2
8192.01414| 2.9279|0.003|  0
8192.08871| 2.9278|0.003|  0
8192.10302| 2.9276|0.002|  0
8304.43347| 2.9299|0.003|  0
8304.59696| 2.9335|0.003|  0
8304.61127| 2.9361|0.004|  0
8304.68585| 2.9303|0.002|  0
8329.03523| 2.9296|0.002|  0
8329.04955| 2.9264|0.004|  0
8489.64859| 2.9264|0.003|  0
8489.66293| 2.9253|0.003|  0
8489.73746| 2.9274|0.003|  0
8489.75181| 2.9255|0.003|  0
8510.61871| 2.9275|0.005|256
8510.63305| 2.9230|0.004|  0
8510.70760| 2.9283|0.003|  0
8510.72191| 2.9261|0.003|  0
8538.45951| 2.9362|0.003|  0
8538.47380| 2.9344|0.002|  0
8652.20961| 2.9286|0.003|  0
8652.22396| 2.9298|0.003|  0
8652.31285| 2.9201|0.006|  0
8667.23101| 2.9227|0.002|  0
8667.24533| 2.9311|0.003|  0
8667.31993| 2.9272|0.003|  0
8667.33425| 2.9272|0.004|  0
8667.40879| 2.9263|0.003|  0
8667.42311| 2.9243|0.003|  8
8698.68665| 2.9247|0.004|  0
8698.70098| 2.9235|0.003|  0
8733.42594| 2.9207|0.003|  0
8733.44028| 2.9201|0.006|  0
8733.51485| 2.9201|0.004|  0
8733.52916| 2.9196|0.003|  1
8743.91464| 2.9287|0.003|  0
8743.92899| 2.9258|0.004|  0
8744.00356| 2.9285|0.003|  0
8744.01786| 2.9319|0.003|  0
8744.09245| 2.9186|0.003|  0
8744.10675| 2.9656|0.005|  0
8837.27886| 2.9296|0.004|  0
8837.29321| 2.9340|0.004|  0
8837.45510| 2.9287|0.004|  2
8931.47782| 2.9120|0.006|256
8931.55240| 2.9462|0.004|  0
8931.56671| 2.9258|0.003|  0
8931.64125| 2.9256|0.003|  0
8931.65557| 2.9237|0.003|  0
8931.73017| 2.9224|0.004|  2
8931.74448| 2.9316|0.003|  2
8931.90627| 2.9293|0.004|  1
