  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 72607

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    72607             HIP number
HH2  :                      Component flag
HH3  :        1.460         V-I (mag)
HH4  :      123             Total transits, Ntot
HH5  :       99             Accepted transits, Nacc
HH6  :        2.2044        Median magnitude,  Hp (mag)
HH7  :        0.0008        sigma Hp (mag)
HH8  :        2.19           5th percentile (max) (mag)
HH9  :        2.22          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : M                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7890.38046| 2.2084|0.007|256
7890.39480| 2.2068|0.007|  0
7890.46934| 2.1957|0.004|  0
7890.48370| 2.2129|0.008|256
7924.58080| 2.2149|0.003|  0
7924.59515| 2.2086|0.007|256
7924.66969| 2.2099|0.006|  0
7924.68401| 2.2125|0.003|256
7977.26509| 2.2044|0.003|  0
7977.27944| 2.1862|0.006|256
7977.44287| 2.2076|0.004|256
7977.45719| 2.2008|0.005|  0
8000.02689| 2.2015|0.004|  1
8000.10147| 2.2138|0.003|256
8000.11579| 2.2079|0.003|  0
8000.19035| 2.2053|0.003|  0
8000.20467| 2.2068|0.002|  0
8031.90771| 2.2070|0.003|  0
8031.92202| 2.2100|0.004|  1
8031.99660| 2.2020|0.002|  1
8032.01091| 2.2026|0.003|  1
8061.85114| 2.2145|0.002|  0
8061.86543| 2.2169|0.002|  0
8061.94001| 2.2134|0.003|  0
8061.95432| 2.2185|0.003|  0
8062.02890| 2.2140|0.002|  0
8090.27681| 2.2061|0.002|256
8090.29115| 2.2069|0.004|  0
8090.36572| 2.2055|0.002|  0
8090.38004| 2.2130|0.002|  0
8090.45460| 2.2060|0.002|  0
8090.46892| 2.2080|0.002|  0
8181.88919| 2.2048|0.003|  0
8181.90350| 2.2077|0.003|256
8212.54201| 2.1935|0.004|  1
8212.55635| 2.1938|0.002|  1
8234.93491| 2.2028|0.002|  0
8234.94925| 2.1991|0.002|256
8235.02380| 2.1983|0.003|  0
8235.03814| 2.2028|0.002|  0
8235.11269| 2.2052|0.003|  0
8268.35127| 2.2095|0.004|  0
8268.42585| 2.2117|0.002|  0
8268.44017| 2.2028|0.003|  0
8268.51474| 2.2078|0.002|  0
8286.82088| 2.2153|0.003|  0
