  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 41037

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    41037             HIP number
HH2  : *                    Component flag
HH3  :        1.576         V-I (mag)
HH4  :       92             Total transits, Ntot
HH5  :       79             Accepted transits, Nacc
HH6  :        1.9996        Median magnitude,  Hp (mag)
HH7  :        0.0033        sigma Hp (mag)
HH8  :        1.96           5th percentile (max) (mag)
HH9  :        2.04          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : U                    Variability type
HH13 : 2                    Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
8007.79342| 2.0575|0.005|  2
8007.80777| 2.0762|0.003|  2
8098.32071| 2.0237|0.003|256
8098.33503| 2.0257|0.002|  0
8098.42390| 2.0227|0.002|  0
8098.49848| 2.0275|0.002|256
8119.38098| 2.0160|0.002|  1
8119.57305| 2.0122|0.004|  1
8155.46232| 2.0209|0.002|256
8155.53689| 2.0194|0.002|  0
8155.55120| 2.0187|0.003|  0
8155.62578| 2.0219|0.003|  0
8155.64009| 2.0159|0.002|  0
8174.64308| 1.9858|0.003|  0
8174.65740| 1.9936|0.002|  0
8208.75630| 2.0011|0.004|  1
8208.77062| 2.0069|0.004|  1
8208.84522| 2.0062|0.002|  1
8231.34118| 1.9985|0.003|  0
8231.43007| 1.9932|0.003|  0
8261.19431| 1.9877|0.003|  0
8261.26886| 1.9847|0.003|  0
8261.28318| 1.9871|0.003|  0
8261.35777| 1.9838|0.003|  0
8261.37207| 1.9882|0.002|  0
8290.07214| 2.0013|0.003|  0
8290.16103| 2.0015|0.003|  0
8290.24992| 2.0088|0.007|  2
8316.62706| 1.9790|0.003|  2
8316.71594| 1.9912|0.003|  0
8316.73024| 1.9807|0.003|  0
8316.80483| 1.9834|0.002|  0
8316.81917| 1.9841|0.004|  0
8349.59150| 1.9909|0.004|  0
8349.68041| 1.9846|0.003|  0
8349.69476| 1.9900|0.003|264
8377.49285| 2.0051|0.003|  0
8377.58172| 2.0115|0.004|  0
8407.08068| 1.9759|0.002|256
8407.09503| 1.9755|0.003|256
8407.16960| 1.9707|0.002|  0
8407.18394| 1.9700|0.002|  0
8439.59818| 2.0109|0.004|  0
8439.61249| 2.0063|0.004|  0
8462.70137| 1.9902|0.002|  0
8462.71566| 1.9996|0.004|  0
8462.79022| 2.0000|0.002|  0
8462.80457| 1.9955|0.002|  0
8498.50168| 2.0368|0.002|  0
8498.51597| 2.0347|0.002|  0
8498.59054| 2.0303|0.003|  0
8498.60487| 2.0311|0.002|  0
8517.62206| 1.9840|0.003|  0
8517.69667| 1.9880|0.003|  0
8517.71094| 1.9879|0.003|  0
8553.08452| 1.9884|0.004|  0
8553.09882| 1.9891|0.003|  0
8573.61192| 2.0270|0.003|  0
8573.62626| 2.0169|0.005|  0
8605.32903| 2.0134|0.003|  0
8631.63058| 1.9874|0.002|  0
8631.64490| 1.9907|0.003|256
8631.71947| 1.9810|0.002|  0
8631.73381| 1.9806|0.002|256
8659.17617| 2.0121|0.004|  0
8659.19047| 2.0067|0.003|  0
8659.26504| 2.0078|0.005|  0
8659.27935| 2.0085|0.002|  0
8717.82163| 1.9619|0.002|  0
8717.83596| 1.9527|0.003|  0
8717.91052| 1.9593|0.003|  0
8717.92484| 1.9592|0.003|  0
8749.63078| 1.9734|0.003|  0
8749.64508| 1.9771|0.004|  0
8749.71964| 1.9686|0.004|  0
8749.73399| 1.9739|0.003|  0
8780.19514| 1.9956|0.002|  0
8780.20947| 1.9951|0.003|  0
8805.88864| 1.9908|0.003|  0
8805.96320| 1.9879|0.003|256
8805.97750| 1.9889|0.003|  0
8806.05204| 2.0010|0.003|  0
8949.74895| 2.0415|0.003|  0
8949.76328| 2.0450|0.003|  0
8974.88716| 2.0034|0.003|  0
8974.90150| 2.0006|0.002|256
9020.21346| 2.0024|0.005|  0
9020.22778| 2.0021|0.004|  2
9020.30233| 1.9976|0.002|256
9020.31667| 2.0025|0.003|  0
9047.18368| 1.9897|0.002|256
9047.19800| 2.0253|0.018| 32

  ------------------------------------------------------------------------

                                [ Dynamically generated: Wed Mar 15 10:53:08
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
