  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 20889

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    20889             HIP number
HH2  :                      Component flag
HH3  :        1.040         V-I (mag)
HH4  :       66             Total transits, Ntot
HH5  :       60             Accepted transits, Nacc
HH6  :        3.6992        Median magnitude,  Hp (mag)
HH7  :        0.0005        sigma Hp (mag)
HH8  :        3.69           5th percentile (max) (mag)
HH9  :        3.71          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : C                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7914.53328| 3.6836|0.008|  2
7914.60786| 3.6947|0.005|  0
7914.62215| 3.6947|0.003|  0
7959.75758| 3.6917|0.003|  0
8091.98454| 3.6937|0.003|  0
8091.99888| 3.6943|0.003|  0
8092.17668| 3.6989|0.004|  2
8092.25122| 3.6977|0.004|  0
8092.26557| 3.6969|0.004|  0
8101.95457| 3.6988|0.004|  0
8102.04347| 3.6972|0.003|  8
8102.20695| 3.6945|0.003|  0
8136.95016| 3.7028|0.003|  0
8136.96448| 3.6962|0.003|  0
8137.03906| 3.6966|0.003|  0
8137.05336| 3.6938|0.003|  0
8173.29211| 3.7041|0.005|  0
8173.30643| 3.7056|0.004|  0
8173.73659| 3.7040|0.003|  0
8173.75093| 3.7038|0.003|  0
8173.82550| 3.7040|0.005|  0
8179.15910| 3.6963|0.003|  0
8179.17340| 3.6989|0.003|  0
8179.24799| 3.6985|0.003|  0
8179.26228| 3.6983|0.003|256
8179.52898| 3.6976|0.003|  0
8179.60357| 3.6996|0.003|  1
8179.61788| 3.6983|0.003|  0
8179.69247| 3.7034|0.003|256
8179.70677| 3.6992|0.003|256
8306.16291| 3.7074|0.004|  2
8306.25179| 3.6983|0.003|  1
8335.76071| 3.6999|0.003|  0
8335.83527| 3.6952|0.004|  2
8335.84956| 3.7000|0.003|  0
8335.92413| 3.6974|0.003|  0
8335.93848| 3.6989|0.003|  0
8351.38690| 3.7023|0.004|  0
8351.40121| 3.6987|0.004|  0
8351.47576| 3.6983|0.003|  0
8351.49010| 3.6981|0.004|264
8351.65354| 3.6990|0.004|  0
8351.66786| 3.7062|0.004|  0
8482.75240| 3.6996|0.005|  0
8482.76673| 3.7029|0.004|  0
8482.84130| 3.6986|0.003|  0
8482.85562| 3.6995|0.004|  2
8509.32275| 3.6993|0.003|  0
8509.33704| 3.7011|0.003|  0
8509.41162| 3.6895|0.003|256
8509.42600| 3.7011|0.004|  0
8509.50052| 3.7003|0.004|  0
8653.34861| 3.6967|0.004|  0
8653.42317| 3.7008|0.003|  0
8653.43750| 3.6944|0.003|  0
8653.51207| 3.7002|0.003|  0
8653.52639| 3.7029|0.003|  0
8674.65925| 3.7053|0.004|  0
8674.67355| 3.7071|0.004|  0
8674.74812| 3.7015|0.004|  0
8674.76246| 3.7035|0.005|  0
8699.37300| 3.6922|0.005|  0
8699.46193| 3.7046|0.004|  0
8699.53644| 3.7070|0.004|  0
8699.55077| 3.7011|0.004|  0
8830.04848| 3.6994|0.007|  0

  ------------------------------------------------------------------------

                                [ Dynamically generated: Tue Mar 14 13:45:35
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
