  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 87833

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    87833             HIP number
HH2  :                      Component flag
HH3  :        1.540         V-I (mag)
HH4  :      115             Total transits, Ntot
HH5  :      100             Accepted transits, Nacc
HH6  :        2.3617        Median magnitude,  Hp (mag)
HH7  :        0.0008        sigma Hp (mag)
HH8  :        2.35           5th percentile (max) (mag)
HH9  :        2.37          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : M                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7835.81712| 2.3528|0.002|  1
7835.83144| 2.3520|0.003|  1
7835.90601| 2.3595|0.002|  1
7835.92033| 2.3568|0.002|  1
7863.36235| 2.3558|0.004|  0
7894.38606| 2.3623|0.003|  0
7894.46063| 2.3765|0.004|  1
7894.47495| 2.3647|0.003|256
7921.47335| 2.3686|0.002|  0
7921.48769| 2.3646|0.002|  0
7949.65467| 2.3568|0.004|  0
7949.72926| 2.3644|0.002|256
7949.74354| 2.3599|0.002|264
8004.01901| 2.3607|0.003|  1
8038.75494| 2.3576|0.002|  1
8038.76931| 2.3428|0.005|  1
8038.84380| 2.3639|0.004|  1
8038.85815| 2.3582|0.004|  1
8038.93269| 2.3597|0.004|  1
8038.94705| 2.3674|0.002|  0
8059.19392| 2.3610|0.003|  0
8059.20828| 2.3607|0.002|  0
8059.28283| 2.3606|0.002|  0
8059.29718| 2.3635|0.003|  0
8095.26645| 2.3710|0.003|  0
8095.34101| 2.3678|0.003|  0
8095.35533| 2.3697|0.003|  0
8117.12619| 2.3701|0.004|  0
8117.28966| 2.3802|0.004| 64
8117.30399| 2.3676|0.003|  0
8150.53098| 2.3628|0.003|  1
8150.60556| 2.3567|0.003|  0
8150.61990| 2.3590|0.003|  0
8176.99500| 2.3648|0.005|  0
8177.00931| 2.3654|0.003|  0
8205.79710| 2.3598|0.004|256
8205.87166| 2.3581|0.003|  0
8205.88599| 2.3598|0.003|  0
8236.62860| 2.3636|0.002|  1
8263.09414| 2.3569|0.002|  0
8263.10845| 2.3541|0.002|  0
8263.18302| 2.3500|0.002|  0
8293.12673| 2.3620|0.003|  2
8293.14106| 2.3627|0.002|  0
8293.21561| 2.3593|0.003|  0
8293.22993| 2.3618|0.002|  0
8322.09276| 2.3606|0.002|256
8322.10707| 2.3627|0.006|  0
8322.18163| 2.3569|0.004|  0
8322.19596| 2.3604|0.003|  0
8347.41740| 2.3586|0.005|256
8347.43172| 2.3544|0.004|  0
8347.50630| 2.3646|0.004| 10
8380.99981| 2.3658|0.002|  0
8381.01416| 2.3636|0.002|  0
8402.06063| 2.3700|0.002|256
8402.07498| 2.3622|0.002|  0
8438.21719| 2.3684|0.003|  0
8438.23151| 2.3689|0.003|  0
8438.30608| 2.3709|0.003|  0
8438.32040| 2.3710|0.003|256
8458.84781| 2.3690|0.003|  0
8493.74657| 2.3628|0.003|  0
8493.76091| 2.3594|0.004|  0
8493.83545| 2.3585|0.002|  0
8493.84981| 2.3583|0.003|  0
8518.28518| 2.3666|0.003|256
8518.35977| 2.3612|0.002|256
8518.37406| 2.3579|0.005|  0
8548.86602| 2.3648|0.002|  0
8548.95490| 2.3543|0.003|  0
8548.96922| 2.3595|0.003|  0
8578.20136| 2.3671|0.003|  0
8578.27592| 2.3779|0.004|  0
8578.36483| 2.3691|0.004|  0
8578.37913| 2.3596|0.006|  0
8605.11072| 2.3637|0.003|  0
8605.12503| 2.3643|0.006|  0
8605.19959| 2.3662|0.003|  0
8605.21394| 2.3640|0.004|  0
8605.28851| 2.3578|0.003|  0
8605.30281| 2.3569|0.004|  0
8636.12038| 2.3624|0.003|  0
8636.13466| 2.3579|0.003|256
8636.20926| 2.3581|0.005|  0
8636.22356| 2.3603|0.004|  0
8636.29811| 2.3577|0.003|  0
8636.31248| 2.3471|0.004|  0
8663.66585| 2.3693|0.002|  0
8663.75476| 2.3670|0.004|  0
8663.76910| 2.3681|0.004|  0
8663.84364| 2.3708|0.002|  0
8663.85799| 2.3640|0.003|  9
8722.75169| 2.3651|0.003|  0
8722.84058| 2.3740|0.003|  2
8722.85492| 2.3588|0.003|  0
8745.24814| 2.3534|0.005|  0
8745.32271| 2.3567|0.002|256
8745.33703| 2.3540|0.003|  0
8745.41160| 2.3591|0.003|  0
8745.42593| 2.3571|0.003|  0
8780.76887| 2.3508|0.004|  0
8780.78319| 2.3577|0.004|  0
8780.85773| 2.3567|0.002|  0
8780.87210| 2.3580|0.005|  0
8801.03007| 2.3658|0.003|  0
8801.11896| 2.3658|0.005|  0
8801.20785| 2.3659|0.004|  0
8947.57561| 2.3615|0.002|  0
8947.58991| 2.3676|0.003|  0
8947.66445| 2.3640|0.003|  0
8947.67882| 2.3669|0.003|  2
9052.56295| 2.3611|0.004|  0
9052.63750| 2.3717|0.003|256
9052.65184| 2.3580|0.004|  0

  ------------------------------------------------------------------------

                                [ Dynamically generated: Wed Mar 15 12:54:31
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
