  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 14328

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    14328             HIP number
HH2  :                      Component flag
HH3  :        0.760         V-I (mag)
HH4  :       74             Total transits, Ntot
HH5  :       61             Accepted transits, Nacc
HH6  :        3.0586        Median magnitude,  Hp (mag)
HH7  :        0.0005        sigma Hp (mag)
HH8  :        3.05           5th percentile (max) (mag)
HH9  :        3.07          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 :                      Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7938.34033| 3.0533|0.003|  0
7938.35462| 3.0519|0.002|  0
7964.81681| 3.0609|0.002|  0
7964.83110| 3.0597|0.002|256
8079.17829| 3.0566|0.003|  0
8079.19261| 3.0591|0.002|  0
8079.26718| 3.0590|0.002|  0
8079.28152| 3.0556|0.003|  0
8079.35610| 3.0551|0.002|  0
8079.37042| 3.0587|0.002|  0
8098.46539| 3.0586|0.002|  0
8098.47971| 3.0561|0.003|  0
8098.64319| 3.0567|0.002|  0
8098.65750| 3.0624|0.003|  0
8098.73208| 3.0644|0.006|  0
8129.75913| 3.0567|0.003|  0
8129.83370| 3.0546|0.003|  0
8129.84802| 3.0560|0.003|  0
8129.92261| 3.0590|0.003|  0
8129.93693| 3.0557|0.002|  0
8165.29759| 3.0686|0.003|  2
8165.37216| 3.0503|0.002|  0
8176.39388| 3.0591|0.002|  0
8176.40822| 3.0580|0.002|  0
8176.48279| 3.0570|0.002|  0
8176.49711| 3.0579|0.002|  0
8264.68175| 3.0592|0.003|  0
8264.69607| 3.0649|0.003|  0
8264.77063| 3.0565|0.003|  0
8264.78495| 3.0569|0.003|  0
8264.85951| 3.0758|0.003|256
8278.63400| 3.0584|0.002|  1
8278.64834| 3.0596|0.002|  1
8278.81176| 3.0596|0.003|  0
8310.52533| 3.0623|0.003|  0
8310.53969| 3.0586|0.003|  0
8310.61420| 3.0642|0.003|  0
8310.62855| 3.0599|0.003|  0
8343.93072| 3.0651|0.004| 10
8343.94503| 3.0687|0.003| 10
8344.19736| 3.0621|0.003|  0
8344.21166| 3.0552|0.003|  0
8358.15082| 3.0729|0.004|256
8358.16512| 3.0614|0.003|256
8358.32858| 3.0616|0.003|  0
8358.34289| 3.0608|0.002|  0
8358.41746| 3.0603|0.002|  0
8358.43178| 3.0616|0.003|  0
8358.50634| 3.0594|0.003|  0
8358.52065| 3.0569|0.002|  0
8358.59522| 3.0581|0.002|  8
8474.67310| 3.0703|0.003|256
8474.74771| 3.0705|0.002|  0
8474.76199| 3.0685|0.003|  0
8474.83661| 3.0723|0.003|  0
8474.85091| 3.0708|0.003|264
8504.44049| 3.0507|0.003|  0
8504.51504| 3.0584|0.002|  0
8504.52939| 3.0625|0.002|  0
8504.60396| 3.0628|0.002|256
8504.61828| 3.0525|0.003|  0
8524.08129| 3.0593|0.003|  0
8656.64490| 3.0606|0.004|  0
8656.71944| 3.0581|0.003|  0
8656.73375| 3.0599|0.002|  0
8681.52220| 3.0584|0.002|256
8681.59677| 3.0573|0.002|  0
8681.61107| 3.0573|0.003|  0
8705.05471| 3.0567|0.003|  0
8705.06904| 3.0573|0.002|  0
9008.71253| 3.0570|0.002|  0
9008.72683| 3.0563|0.003|256
9008.80141| 3.0508|0.003|  0
9008.81574| 3.1048|0.005|288

  ------------------------------------------------------------------------

                                [ Dynamically generated: Tue Mar 14 13:47:57
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
