  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 84380

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    84380             HIP number
HH2  :                      Component flag
HH3  :        1.310         V-I (mag)
HH4  :      135             Total transits, Ntot
HH5  :      125             Accepted transits, Nacc
HH6  :        3.3121        Median magnitude,  Hp (mag)
HH7  :        0.0006        sigma Hp (mag)
HH8  :        3.30           5th percentile (max) (mag)
HH9  :        3.32          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : M                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7859.54167| 3.3022|0.004|  0
7859.55598| 3.3151|0.004|  0
7859.80832| 3.3179|0.005|  0
7859.82265| 3.3161|0.003|256
7898.91913| 3.3129|0.004|  0
7898.99375| 3.3144|0.003|  0
7923.25442| 3.3218|0.004|  0
7923.26874| 3.3055|0.003|  0
7923.34332| 3.3083|0.003|  0
7923.35763| 3.3126|0.005|  0
7923.43222| 3.3059|0.003|  0
7923.44653| 3.3097|0.003|  0
7951.79187| 3.3085|0.003|  1
7984.20581| 3.3108|0.003|  0
7984.22015| 3.3100|0.003|  0
7984.29469| 3.3118|0.003|  0
7984.30905| 3.3160|0.004|  2
8002.51308| 3.3101|0.008|  2
8002.52739| 3.3145|0.005|  0
8002.60195| 3.3129|0.003|  8
8041.68689| 3.3095|0.003|  0
8041.70121| 3.3128|0.003|  1
8041.86469| 3.3071|0.003|  0
8041.87902| 3.3119|0.003|  0
8054.94379| 3.3059|0.003|  0
8055.01836| 3.3113|0.003|  1
8055.10722| 3.3127|0.004|  0
8055.12157| 3.3151|0.003|  0
8055.19611| 3.3142|0.004|  0
8055.21046| 3.3179|0.003|  0
8094.36003| 3.2984|0.004|  0
8094.37435| 3.3075|0.004|  0
8094.44891| 3.3040|0.003|  0
8094.46325| 3.3075|0.003|  0
8114.27937| 3.3107|0.003|  0
8114.35391| 3.3147|0.003|  0
8114.36825| 3.3123|0.003|  0
8114.44281| 3.3115|0.003|  0
8147.04784| 3.3021|0.005|  0
8147.06218| 3.3077|0.004|  0
8177.70084| 3.3146|0.006|  0
8177.71516| 3.3100|0.003|  0
8177.78975| 3.3098|0.003|  0
8201.60528| 3.3156|0.002|  0
8201.61959| 3.3178|0.003|  0
8201.69416| 3.3149|0.004|  0
8201.70848| 3.3146|0.003|  0
8241.58977| 3.3094|0.002|  0
8241.60409| 3.3160|0.004|  0
8241.67866| 3.3138|0.003|  0
8241.69299| 3.3142|0.003|  0
8241.76755| 3.3101|0.003|  0
8241.78187| 3.3039|0.005|  0
8241.85644| 3.3138|0.004|  0
8262.91942| 3.3217|0.005|  0
8262.93374| 3.3155|0.004|  0
8263.00831| 3.3193|0.003|  0
8263.02263| 3.3171|0.005|  0
8263.09722| 3.3122|0.003|  0
8263.11152| 3.3137|0.003|  0
8263.18609| 3.3152|0.004|  0
8296.16575| 3.3132|0.003|  0
8296.24032| 3.3140|0.002|  0
8296.25464| 3.3117|0.003|  0
8296.32922| 3.3149|0.004|  0
8296.34353| 3.3107|0.003|  0
8325.47311| 3.3256|0.003|  0
8325.48742| 3.3146|0.004|  0
8325.56198| 3.3121|0.003|  0
8325.57633| 3.3199|0.004|  0
8347.51141| 3.3089|0.004| 10
8347.68920| 3.3200|0.004|  0
8384.56966| 3.3111|0.003|  0
