  [ESA-LOGO]   [DAF-LOGO]

                       Hipparcos/Tycho Catalogue Data

                  Hipparcos Catalogue Epoch Photometry Data
                                 HIP 68933

For information on field definitions see Volume 1, Section 2.5

Field       Value                 Field Description

HH1  :    68933             HIP number
HH2  :                      Component flag
HH3  :        1.005         V-I (mag)
HH4  :       85             Total transits, Ntot
HH5  :       77             Accepted transits, Nacc
HH6  :        2.2226        Median magnitude,  Hp (mag)
HH7  :        0.0004        sigma Hp (mag)
HH8  :        2.22           5th percentile (max) (mag)
HH9  :        2.23          95th percentile (min) (mag)
HH10 :                      Variability period, P (day)
HH11 :                      Reference epoch (day)
HH12 : C                    Variability type
HH13 :                      Annex flag (tables)
HH14 :                      Annex flag (light curves)
TRANSITS
HT1       |HT2    |HT3  |HT4
7912.43426| 2.2218|0.003|  0
7912.44861| 2.2217|0.002|256
7912.61204| 2.2582|0.008|  0
7939.28437| 2.2227|0.006|  0
7939.35891| 2.2287|0.004|256
7939.37327| 2.2231|0.004|  0
8079.23364| 2.2194|0.003|  0
8079.24795| 2.2177|0.002|  0
8079.32253| 2.2166|0.002|  0
8079.33684| 2.2183|0.002|  0
8079.41139| 2.2208|0.004|  0
8103.84628| 2.2122|0.003|  1
8104.02401| 2.2263|0.004|  0
8128.56184| 2.2211|0.004|  0
8128.63642| 2.2318|0.002|  0
8128.65072| 2.2256|0.002|256
8259.82934| 2.2261|0.002|  0
8259.84367| 2.2226|0.002|  0
8259.91824| 2.2201|0.002|  0
8259.93256| 2.2216|0.002|  0
8260.00714| 2.2273|0.002|  0
8278.68468| 2.2108|0.004|  1
8278.84815| 2.2233|0.003|  0
8278.86248| 2.2322|0.003|  0
8426.64007| 2.2240|0.003|  0
8426.65437| 2.2208|0.002|  0
8426.72895| 2.2191|0.003|  0
8426.74327| 2.2205|0.005|  2
8426.81786| 2.2207|0.003|  0
8426.83216| 2.2227|0.003|  0
8426.90672| 2.2194|0.002|256
8426.92104| 2.2213|0.002|  0
8427.08448| 2.2197|0.005|  0
8440.23794| 2.2229|0.003|  9
8440.41566| 2.2255|0.002|  0
8440.43000| 2.2208|0.003|  0
8440.50453| 2.2247|0.002|  0
8440.51889| 2.2235|0.003|  0
8440.59344| 2.2268|0.003|  0
8440.60776| 2.2238|0.003|  0
8474.35387| 2.2204|0.002|  0
8474.36822| 2.2194|0.004|  0
8510.07991| 2.2238|0.004|  0
8510.15447| 2.2268|0.002|  0
8510.16877| 2.2213|0.004|  0
8519.57533| 2.2292|0.004|  0
8519.66422| 2.2274|0.003|  0
8519.67851| 2.2226|0.004|  0
8519.84198| 2.2201|0.002|  0
8519.85630| 2.2212|0.002|  0
8519.93089| 2.2230|0.003|  0
8609.48939| 2.2274|0.005|  0
8609.50376| 2.2231|0.003|  0
8609.57830| 2.2243|0.002|  0
8609.59263| 2.2231|0.002|  0
8617.84505| 2.2210|0.002|  1
8617.85938| 2.2281|0.003|256
8617.93396| 2.2227|0.003|  0
8617.94827| 2.2194|0.003|  0
8618.02285| 2.2212|0.002|  0
8618.03715| 2.2226|0.003|  0
8618.11172| 2.2259|0.003|  0
8652.24335| 2.2270|0.002|  0
8652.31793| 2.2124|0.003|  0
8652.33225| 2.2158|0.004|  0
8683.52103| 2.2228|0.003|256
8683.59559| 2.2215|0.002|  0
8683.60989| 2.2199|0.002|  0
8683.68448| 2.2176|0.003|  0
8683.69881| 2.2180|0.004|  0
8683.77337| 2.2203|0.003|  0
8683.78768| 2.2178|0.005|  0
8697.55064| 2.2234|0.006|  0
8697.56496| 2.2247|0.003|  0
8697.72846| 2.2310|0.002| 66
8697.74278| 2.2251|0.002|  0
8697.81736| 2.2225|0.003|  0
8697.83165| 2.2202|0.002|  0
8697.90624| 2.2228|0.004|  0
8697.92057| 2.2266|0.003|  0
8697.99516| 2.2211|0.003|  0
9008.74873| 2.2283|0.003|  0
9008.76307| 2.2350|0.006|  0
9008.83766| 2.2220|0.003|  0
9008.85200| 2.2225|0.003|256

  ------------------------------------------------------------------------

                                [ Dynamically generated: Wed Mar 15 10:54:06
   Back to Astrophysics                                GMT+1100 (EST) 2000 ]
                                                         [Script author wil]
                                                    [Mail the administrator]
